ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
2742,"la aplicacion solicita que se actualice, se actualiza y luego no abre la app. Se queda en blanco aun con wifi y datos. Ojala le den solucion lo antes posible. La app era util",not_applicable,"Pantalla en blanco post-actualización"
2743,"Un asco de aplicación desde hace tiempo los mismos problemas de instalación ,de uso de actualización ,que no se pude cargar etc etc.",not_applicable,"Problemas múltiples persistentes de larga data"
2744,"Una porquería cuando intento ingresar a la app me sale la aplicación no se puede instalar que clase de servicio están facilitando a sus clientes es una burla, arreglen ese problema de inmediato.",not_applicable,"Error de instalación de aplicación"
2745,"muy mala aplicación te pide que vayas al banco o por cajero para actualizar tu numero y correo ¿y si no estoy cerca a un banco que hago?. El banco es el encargado de subir en su base todos estos datos de sus clientes. Hay app de otros banco mas sencillas que el cliente puede entender y hacer uso de una manera mas rápida.",not_applicable,"Solicitud de actualización presencial comparada negativamente con otros bancos"
2746,"Hace 5 días no puedo acceder a la aplicación, luego de poner mi contraseña me sale un aviso ""error en la aplicación"" por favor solucionar el problema. Se hacen muchas operaciones x esta app para no salir de casa.",not_applicable,"Error post-contraseña por 5 días"
2747,"Hace dias que no puedo ingresar en la app, introduzco mis datos y los acepta pero cuando va a cambiar al menu interno..se queda en blanco la app..no muestra ninguna informacion.",not_applicable,"Pantalla en blanco tras autenticación exitosa"
2748,"Señores, es la enésima vez que reporto este incidente, no puedo hacer transferencias interbancaria desde que la app fue actualizada. Favor de solucionarlo!. Gracias.",not_applicable,"Pérdida de transferencias interbancarias post-actualización"
2749,"Constantemente, tiene errores para lograrse...! ""Hubo errores en la aplicación, intente más tarde"".. !!!!...Pero, yo necesito mi dinero en el instante, no más tarde...!!!!",not_applicable,"Errores constantes impidiendo acceso inmediato a dinero"
2750,"Una porquería, al menos ponga una opción para los que sólo queremos consultar saldo y no deseamos realizar ninguna transacción en línea, no queremos crear clave luego dirán que usamos nuestra clave en compras por Internet que nunca hicimos ya me paso, gracias",integrity,"Experiencia previa de compras por internet no realizadas"
2751,"Malísima actualización, no me deja transferir a otras cuentas y ahora hay una comisión cuando antes no era así, ni siquiera deja usar el plin. Una estrella porque no se puede menos",not_applicable,"Pérdida de funcionalidad y aparición de comisiones nuevas"
2752,"Antes era perfecta! Pero ahora el plin no funciona en las noches y me acaban de cobrar 6 veces por una compra que hize una sola vez! Y siempre aparece error de transacción.Por favor arreglen esto y con gusto les doy 5 estrellas.",integrity,"Cobro seis veces por compra única - violación grave de integridad financiera"
2753,"Es increible que una entidad financiera cuente con un app tan horrorosa desde la última actualización estoy intentando ingresar hace 3 días y hasta ahora me sigue indicando que debo de intentar mas tarde verdaderamente decepcionante.",not_applicable,"Error persistente por 3 días post-actualización"
2754,"Me cobran Comisión y NO informan, he realizado una transferencia interbancaria CCI y me han cobrado S/7.00 pero sin informarme antes para decidir si lo asumía o lo hacía por otro banco, francamente estoy pensando realizar una queja al libro de reclamos, que mal cada vez están peor y NO dan información, me quejaré, estoy muy molesto",integrity,"Cobro de comisión no informada - falta de transparencia financiera"
2755,"Tengo errores con la app aveces no inicia sesion para verificar transacciones ademas hay un error en la fecha de cada transaccion me salen que me las hicieron 1 dias antes cuando me las hicieron hoy es muy confuso.",accountability,"Fechas incorrectas en transacciones - 1 día de diferencia"
2756,"La aplicacion es bastante lamemtable hasta el punto de fallar en casi cualquier cosa. Pagos, conexiones , errores de la propia aplicacion etc. (No recomiendo esta app bancaria en lo absoluto)",not_applicable,"Fallas múltiples en todas las funcionalidades"
2757,"La app es pésima, cada vez que quiero ingresar, sale un mensaje de que hubo un error de App ,vuelve a intentarlo y no permite me realizar mis operaciones, de lo peor",not_applicable,"Error persistente impidiendo operaciones"
2758,"Ya tenía mis datos guardado y otra vez ingresarlos. Todo a la 1ra vez sale un error. Cuando vuelves intentar recién funciona. Antes de lanzar el upgrade has las pruebas funcionales correctamente.",not_applicable,"Pérdida de datos guardados y necesidad de doble intento"
2759,"Justamente hoy quize ver mi estado y saldo. Pero sale el mensaje del celular rooteado y el mío tampoco lo es. Lo desinstalé y volví a instalar pero sigue el mismo mensaje. Espero lo puedan solucionar lo más pronto posible, está pésimo.",resistance,"Falso positivo de root persistente tras reinstalación"
2760,"La aplicación siempre falla, últimamente nisiquiera se puede ingresar, siempre dice error en la aplicación o documento inválido..para hacer un plin aveces debes intentarlo muchas veces.. de lo peor",authenticity,"Documentos válidos marcados como inválidos"
2761,"Me rompe las pelotas intensamente tener que actualizar y ocupar memoria del teléfono para obtener lo mismo pero en otra versión para justificar la existencia de un area de trabajo en su institucion, y lo peor q no es opcional la actualizacion, cortenla y dejenos vivir en paz. Con cariño Gerardo.",not_applicable,"Queja sobre actualizaciones forzadas sin mejoras"
2762,"Ya dejen de mandar publicidades en la notificación push de su App, un día mandan como 10 publicidades, y no lo puedo deshabilitar porque por ahí me notifican los consumos con la tarjeta.",not_applicable,"Exceso de publicidad en notificaciones sin opción de deshabilitar"
2763,"Una porquería la app siempre que es fin de mes no puedo ingresar a ver mis pago porque siempre me dice o documentos inválidos o que hubo un problema con la app siempre es así que asco de aplicación.",authenticity,"Falla sistemática fin de mes con documentos válidos marcados como inválidos"
2764,"Me encantó ver que por fin actualizaron la interfaz de la aplicación, pero cuando estaba creando la clave web, siempre me tira el error de la sesión caducó, lo repetí dos veces y lo mismo.",authenticity,"Sesiones caducando durante creación de clave web"
2765,"No funciona. Es una tonteria me sale que hubo error en la aplicacion, como es posible que lancen una actualizacion que no funciona perjudicando a sus clientes",not_applicable,"Actualización no funcional perjudicando clientes"
2766,"Tengo semanas sin poder utilizar la aplicación. Cuando la abro se cierra inmediatamente, he probado desinstalarla y volver a instalarla y sigue teniendo problemas, no funciona.",not_applicable,"Cierre inmediato persistente por semanas"
2767,"Buena aunque algunas vecs hay problemas de conexión ... Creo que le falta la opción de abrir depósito a plazo como la anterior app espero siga mejorando y sea mas facil logearse",not_applicable,"Pérdida de opción de depósito a plazo de versión anterior"
2768,"Una porquería la app, no permite ingresar, dice contraseña inválida o intente más tarde. Deberían mejorar el servicio.",authenticity,"Contraseñas válidas marcadas como inválidas"
2769,"Lamentablemente con la última actualización el app no funciona, y solo se ve la imagen del banco y de ahí desaparece, ahora no puedo ingresar a la aplicación y lo peor que ya no funciona el plin y esta como recepción otro banco",not_applicable,"Desaparición tras logo post-actualización"
2770,"Me sale error cada que intento ingresar, no me puedo ni registrar, en cada actualización debo volver a ingresar datos, ¿si no tengo la tarjeta a la mano y debo pagar gastos que hago? Y es insoportable que te condicionen a actualizar para poder usar.",authenticity,"Pérdida de datos en cada actualización"
2771,"Empezó a tener fallas últimamente. Antes de que la actualicen funcionaba bien, arreglen ese problema por favor, no se puede hacer operaciones, está muy lenta.",not_applicable,"Regresión funcional post-actualización"
2772,"Como usuario debo decir que la aplicación es la peor de todas las aplicaciones bancarias, ¡un total fiasco! Lo peor de todo son sus transacciones no logradas por fallas de la propia aplicación. La perdida de tiempo y molestia al usuario es invaluable.",not_applicable,"Transacciones fallidas por errores de aplicación"
2773,"Ingreso mis datos todo bien pero luego pide un código que me llega al celular vía mensaje lo ingreso y ahi se queda no hay forma de seguir, no hay botón de siguiente y si retrocedo tengo que comenzar todo de nuevo y otra vez el mismo problema al momento de lo del código.",authenticity,"Interfaz sin botón de continuación tras código SMS válido"
2774,"La presentación está buena, pero con la actualización no puedo generar efectivo móvil, la verdad que con la anterior versión la veía más práctica.",not_applicable,"Pérdida de funcionalidad de efectivo móvil"
2775,"Es la peor aplicación que existe de banco, deja de funcionar a cada momento, hace perder tiempo, la aplicación funcionaba bien hasta que la actualizaron y la malagraron totalmente",not_applicable,"Deterioro completo post-actualización"
2776,"Falla demasiado, no permite el ingreso. Sale error cada momento que quiero entrar a la app, después de 50 intentos recién entra a la app y fallando",not_applicable,"50 intentos requeridos para acceso exitoso"
2777,"Se borró mi lista de pagos frecuentes y no los puedo volver a grabar, la app me dice que ya se encuentran en mi lista, sin embargo la lista no aparece.",accountability,"Lista de pagos borrada con error de duplicación"
2778,"No se puede usar la aplicación en mi dispositivo y solo tengo ese problema con esta aplicación, simplemente no abre y ya que mal, mi dispositivo es un ZTE V8 apenas tengo una semana de haberlo comprado y ni funciona solo esta app",not_applicable,"Incompatibilidad específica con ZTE V8 nuevo"
2779,"Pesima aplicación, no se puede acceder, sale mensaje "" Lo sentimos en este momento no lo podemos atender"" Lo he intentado en repetidas oportunidades y nada. Con las tarjetas de otros bancos no sucede esto. Cambien programador.",not_applicable,"Mensaje de no atención comparado negativamente con otros bancos"
2780,"Pésima App la de Scotiabank, fuera del área metropolitana o ciudad, en zonas sin cobertura, no puedes utilizar el wifi para administrar tu aplicacion para pagar, enviar o recibir dinero, el password es inútil, no te permite tienes que ir Nuevamente a una oficina o cajero actualizar, pesimo!!!!",not_applicable,"Imposibilidad de uso con WiFi en zonas sin cobertura"
2781,"El problema siempre es con la clave digital, no llega o demora en llegar. Luego de esperar que llegue, la digitas y te dice que no es la clave, el app es un desastre.",authenticity,"Claves digitales que llegan pero son rechazadas como incorrectas"
2782,"Malisima, quiero hacer una Trasferencia urgente y no me abre la app, reinicié el telf y nada, y no es primera vez que me pasa, revise la conexión y todo bien, sin embargo no logro abrir la app",not_applicable,"Imposibilidad de apertura para transferencia urgente"
2783,"Solo sirve para hacer pagos y ya, le faltan muchas opciones como en los otros bancos, no puedo ni cancelar una tarjeta por el app ni por llamada, una porquería",not_applicable,"Funcionalidad limitada comparada con otros bancos"
2784,"Detesto cuando necesito hacer una operacion urgente y no me dejan ingresar a la app. Dice vuelva mas tarde en este momento no podemos atenderlo y peor aun que estamos en medio de esta pandemia. Errores asi son crasos. Exijo una solución!",not_applicable,"Error en operaciones urgentes durante pandemia"
2785,"Antes de la última actualización todo funcionaba bien , pero ahora en la versión reciente es una porquería, ya llevo más de 1 mes con este problema que dice ""hubo un error en la aplicación por favor intentar más tarde""",not_applicable,"Error persistente por más de 1 mes post-actualización"
2786,"Cuando ingreso a la app me sale el siguiente mensaje ""la aplicacion no se puede utilizar"" y por tanto no puedo ingresar a la app y hacer mis operaciones. Es una tontería esto,en vez de mejorar las cosas, peor y mas complicado ponen las cosas. Que explicación pueden dar??",not_applicable,"Mensaje explícito de aplicación no utilizable"
2787,"Salió el aviso de actualización a la nueva versión, y resulta al hacerlo, se queda en pendiente y no abre, que pésimo, si no funciona como ya he visto en otros comentarios, por qué no la mejoran, pésimo servicio, todo iba bien",not_applicable,"Actualización quedando en pendiente sin abrir"
2788,"Al poner el DNI y dar ACEPTAR sale un mensaje: ""User-agent"" requerido y no permite continuar. Desinstalando. Ademas si no tienes tarjeta de débito tampoco sirve. Si tienes solo tarjeta de crédito no puedes usar esta app",not_applicable,"Error técnico User-agent y limitación por tipo de tarjeta"
2789,"La actualización peor que la antigua para que generó una clave de ingreso si luego para acceder a la app me pide clave digital que demora media hora a más en llegar peor que las apps de otros bancos",authenticity,"Clave digital demorando media hora comparada negativamente con otros bancos"
2790,"No puedo activar la biometría desde que cambie de celular. El aplicativo presenta fallos. La opción plin constantemente tiene problemas. Por favor Scotiabank solucionen estos problemas, no quiero cambiarme de banco :(",authenticity,"Imposibilidad de activar biometría tras cambio de dispositivo"
2791,"Simplemente ya no puedo entrar a ver mi tarjeta ... Me pide poner mi DNI y eso es todo... Y sale ocurre un error intente más tarde .. y nada... Espero una solución rápida ... La actualización anterior me funcionaba bien",not_aplicable,"Error tras ingreso de DNI, versión anterior funcionaba"
2792,"Hoy entro al aplicativo y me aparece que no funciona en dispositivos rooteados y mi celular no está rooteado. He visto que muchos usuarios tienen el mismo problema. Espero que lo solucionen pronto.",resistance,"Falso positivo de root reportado por múltiples usuarios"
2793,"No funciona. OnePlus One, Lineage-16.0. Dice que tengo root, pero no esta rooteado. Creo que así viene el sistema de fábrica, pre-root. Lo mismo me pasa con pokemón xd Ni modo tendre que usar otro banco.",resistance,"Falso positivo de root en OnePlus con Lineage generando cambio de banco"
2794,"Porque la app se cuelga al iniciar??? Ni siquiera abre para poner clave o algo, se cierra automáticamente, porfavir arreglen eso, porque prácticamente yo hago todas las tracciones por la app",not_applicable,"Cierre automático antes de poder ingresar credenciales"
2795,"Cuando quiero entrar, dice hubo un error en la aplicacion intentelo mas tarde, y esto es repetitivo, desesperante ya que tienes que entrar por la pagina web.",not_applicable,"Error repetitivo forzando uso de página web"
2796,"El App viene presentando problemas desde hace unos días. No puede ser que no lo solucionen. Anteriormente les había colocado 5 estrellas, hoy solo les regaló 1.....",not_applicable,"Degradación de calificación de 5 a 1 estrella por problemas recientes"
2797,"Que mal esta aplicación no funciona cada vez que quiero abrir para ver mis movimientos o hacer algún pago no abre la aplicación y esto me perjudica para hacer mis pagos. Que mala funcionamiento de esta App solucionen lo más pronto posible por favor.",not_applicable,"Imposibilidad de ver movimientos y hacer pagos"
2798,"El peor aplicativo de banco que puede haber, tengo problemas con la transferencia a terceros y otros bancos, simplemente no quiere realizar la operación, ya llame y no me dan una solución, malisima atención.",not_applicable,"Transferencias a terceros y otros bancos sin solución del banco"
2799,"Una porquería la actualización, uno tienen la aplicación para evitar ir a un cajero o una agencia por el tiempo que toma hacer una las el tramite y, no puedo ingresar porque me piden actualizar mis datos esto es una porquería",not_applicable,"Solicitud de actualización de datos contradice propósito de la app"
2800,"Por favor, serían tan amables de solucionar lo más rápido posible el problema. ¡Pésimo servicio! La aplicación no abre o se cierra inmediatamente.. problema desde el Xiaomi Mi a 3",not_applicable,"Problema específico con Xiaomi Mi A3"
