ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
2818,"he tenido que cmabiar como 4 veces la contraseña porque la afiliación con la clave digital no es efectiva, ya hya una notificación al area de sopoete segun la persona que me atendio por teléfono. Pero debería estar mejor estructurada esta app",authenticity,"4 cambios de contraseña por falla en afiliación de clave digital"
2819,"Es la peor aplicación en historia bancaria, que horror voy a cambiar de banco estoy demasiado molesto por el mensaje mismo error de siempre, error en la aplicación.",not_applicable,"Error persistente generando cambio de banco"
2820,"No funciona, y no arreglan el problema, y aún cuando funcionaba, con sus códigos de verificación que aveces no llegan por sms.",authenticity,"Códigos de verificación SMS que no llegan sistemáticamente"
2821,"La aplicación se cierra intempestivamente cuando los datos están activados en Samsung Galaxy S20+, con wifi si funciona.",not_applicable,"Incompatibilidad específica con datos móviles en Samsung S20+"
2822,"En el último paso, aparece el mensaje que hubo un error y lo intente más tarde. Lo desinstale, reinicie y apliqué los mismos pasos pero continúa el mensaje de error",not_applicable,"Error en último paso persistente tras reinstalación completa"
2823,"Buenas tardes porque se tiene que estar con tanta actualisación a cada momento, que de bueno tiene nada , solo llenar la memoria de nuestros equipos.",not_applicable,"Actualizaciones frecuentes sin beneficios aparentes"
2824,"Después de la última actualización no me permite ejecutar la aplicación en el celular. Se cierra, me dice que hay un error y ahora simplemente no abre.",not_applicable,"Imposibilidad total de ejecución post-actualización"
2825,"la aplicación falla constantemente al ingresar, luego te bloquea y debes generar otra clave. en una semana me bloqueo tres veces a pesar se ingresar pin correcto. Mejoren.",authenticity,"Bloqueos incorrectos con PIN correcto - 3 veces en una semana"
2826,"Estoy intentando afiliarme a Plin, pero al abrir la opción de Plin y dar en comenzar, me cierra la app, he abierto varias veces la app y me sucede lo mismo.",not_applicable,"Cierre automático al intentar afiliación a Plin"
2827,"Todo estaba perfecto, hasta que actualizaron el app, mi celular no es rooteado sin embargo sale y sale el mensaje y no me permite tener el app, espero mejore mientras desistalado .",resistance,"Falso positivo de root post-actualización en dispositivo no rooteado"
2828,"Quiero entrar a la aplicación y se queda colgado en el logo de Scotiabank, lo he desinstalado y vuelto a instalar y sigo teniendo el mismo error, pfv ayúdenme a arreglar este problema.",not_applicable,"Colgado en logo persistente tras reinstalación"
2829,"Que actualización para más horrible mejor déjenlo como estaba ... me pide actualizar y lo actualize .. Y cuando entró me sale que tengo que actualizar mi numero de celular y correo y que para aserle tengo que acercarme a una agencia o banco para que me den una clave ... que porquería si yo no necesito actualizar nada .. mi numero y correo es el mismo ... al menos si te pide actualizar datos debería aserlo ai mismo y no tener que acercarnos al banco que tiempo es lo que más ase falta y se tiene que trabajar 😡",not_applicable,"Solicitud de actualización presencial innecesaria con datos correctos"
2830,"La aplicacion nueva no funciona. Es poco practica al pedir clave y contraseña.No es manejable para adultos mayores. No me permite ni ingresar correo ni adelanto de sueldo. Regresa a la pantalla inicial y vuelve a pedir clave",authenticity,"Bucle de solicitud de credenciales - regreso a pantalla inicial"
2831,"Si cliente del banco manejo cuentas de ahorro y tarjeta de crédito y utilizo la app con frecuencia y ahora después de esta actualización no puedo ingresar a la app y esto me está afectando agradecería si lo solucionan",not_applicable,"Cliente frecuente sin acceso post-actualización"
2832,"Antes podía entrar a la aplicación normal, sin embargo ahora al pedirme el código sale que la página tiene un problema e intenté después, dos semanas esperando y nada. Espero me mejoras",authenticity,"Error en solicitud de código por dos semanas"
2833,"La estuve usando muy bien hasta ayer actualicé mi cel, aprox desde la quincena de diciembre no me permite entrar, se cierra de arranque sin cargar nada, acabo de volver a instalarla pensando que ya se había solucionado pero igual 😖",not_applicable,"Cierre inmediato tras actualización del dispositivo"
2834,"Una total porquería descargue la actualización y ahora quiere q me hacer que al banco para actualizar mis mi correo y mi numero de teléfono arreglen eso no tengo tiempo para perder en el banco pensé q esta app era para facilitar todo eso...",not_applicable,"Solicitud de visita presencial contradice propósito de la aplicación"
2835,"Al inicio muy bien, super rápida! Pero desde hace unos días está recontra lenta, demora en cargar o se cuelga",not_applicable,"Degradación de rendimiento de aplicación rápida a lenta"
2836,"No puedo actualizar la app de scotiabank, me sale pendiente ahora no puedo hacer ni realizar nada .tengo que ir al banco personalmente a hacer transacciones y pagos es un desastre.",not_applicable,"Actualización pendiente impidiendo operaciones - forzando visitas presenciales"
2837,"Tengo un s10 plus y no puedo abrir la aplicación, lo intenté muchas veces pero no se puede. Deberian arreglar ese problema ya que necesito usar la aplicación. Gracias.",not_applicable,"Incompatibilidad persistente con Samsung S10 Plus"
2838,"Me acerqué para actualizar mis datos a un cajero y ahora que quiero entrar me dice hubo un error en la aplicación la verdad no entiendo tanto desastre por favor agilicen en dejar operativo su sistema",not_applicable,"Error persistente tras actualización de datos en cajero"
2839,"La peor App de bancos que he utilizado. Si quieres ingresar con tu tarjeta de crédito te pide de la debito, sim embargo por la web si funciona. A utilizar la web no mas !!!",not_applicable,"Solicitud incorrecta de tarjeta de débito para acceso con crédito"
2840,"No me gusta esta aplicación ,por que cada poco tiempo hay una nueva versión que si no la actualizas no puedes entrar a ella,y si no tienes más espacio en el teléfono ya fuiste.",not_applicable,"Actualizaciones forzadas frecuentes con requisitos de espacio"
2841,"Váyanse a la misma MRD con su aplicación, siempre me sale que hubo un error y que esta en mantenimiento. Uno tiene una emergencia y por los mismo errores de esta app pedorra no se puede solucionar.....",not_applicable,"Error y mantenimiento constante impidiendo emergencias"
2842,"actualice la app y ahora no puedo abrirla,la volvi a instalar y nada sigue saliendo la aplicacion no se puede utilizar,y ahora sale q no debo tener otras apps para abrirla ya desinstale varias y nada es muy molesto xq siempre se utiliza este medio para hacer todo más rápido y ahora no puedo por algo crearon la app no? señores de scotiabank porfavor resuelvan este problema operativo y tambien den una respuesta clara no q llamemos a un numero q nos diga que volvamos a instalarlo y no se solucione.",not_applicable,"Solicitud de desinstalación de otras aplicaciones para funcionamiento"
2843,"La anterior version estaba mucho mejor. No veo la opcion de Efectivo movil la cual era una muy buena alternativa para transferir dinero a alguna persona que no tenga tarjeta.",accountability,"Pérdida de opción de Efectivo móvil en nueva versión"
2844,"Su aplicativo es demasiado lento al punto de la frustración, todos los demas bancos ingresan rápido, su aplicativo demora en ingresar y cuando se desea hacer una operación no carga nunca, y sale error después, luego para validar nunca llegan los SMS",authenticity,"SMS de validación que nunca llegan comparado negativamente con otros bancos"
2845,"Malisimo el servicio de banca online, para hacer una transferencia desde la aplicación es cuestión de suerte prácticamente porque nunca se sabe cuando va a funcionar, siempre sale el bendito mensaje ese que dice ""en estos momentos está opción no se encuentra disponible""",not_applicable,"Transferencias como cuestión de suerte - disponibilidad impredecible"
2846,"no me llega el SMS con la clave digital, tantos intentos y nada. deberian solucionar ese tema, la demora de la clave o cambiar ese tipo de comfiguración, por que esperar la clave es un dolor de cabeza para alguna urgencia.",authenticity,"SMS con clave digital que no llega tras múltiples intentos"
2847,"Srs. Scotiabank, desde el día de ayer he intentado ingresar a la app, pero sale un anuncio que hay un problema con la app y que vuelva a intentarlo...por favor solucionen eso a la brevedad ya que trabajo fuera del área urbana, y solo tengo cobertura wifi satelital",not_applicable,"Error persistente desde ayer en zona rural con limitaciones de conectividad"
