ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
2611,"Desde la última actualización no puedo acceder al app...llamé al banco y me indica q Dada la última actualización hay problemas con algunas marcas de dispositivos..el mío es ZTE ..van 12 días y aún no se soluciona el inconveniente.",not_applicable,"Incompatibilidad reconocida por el banco con dispositivos ZTE"
2612,"Buenos días disculpe, siempre he usado el aplicativo del banco para realizar mis gestiones y me enviaban la clave digital pero ahora ingreso y me rechaza se cierra el aplicativo de forma automática. No sé que hacer, espero pueda ayudarme. Gracias.",authenticity,"Cierre automático tras rechazo de credenciales válidas"
2613,"Pésima aplicación, la tengo hace un mes y desde ayer comenzó a fallar, ya llevo 1 dia tratando de ingresar y solo me aparece ERROR EN LA APLICACIÓN, INTENTE MAS TARDE. Definitivamente no la recomiendo.",not_aplicable,"Error persistente de aplicación por 1 día"
2614,"las actualizaciones en lugar de corregir lo hacen peor...ahora ya no puedo entrar...cuando lo van a arreglar ???... puedo entrar a mi aplicación del banco de crédito y del interbank pero no de scotiabank... chao scotiabank, por hacer actualizaciones que no ayudan en nada, un cliente menos",not_applicable,"Comparación negativa con otros bancos post-actualización"
2615,"Una porquería completa la nueva actualización, en vez de mejorar empeoran, para ingresar te piden doble vez la bromearía y en algunas ocasiones, al hacer esto se sale nuevamente, nose que esperan para mejorar eso.",authenticity,"Doble solicitud de biometría con fallas en el proceso"
2616,"En lo particular me parece una buena app, el único problema que he tenido hasta el momento es que no me deja abrir una cuenta de ahorros, me sale el mensaje ALGO PASO, INTENTELO MAS TARDE.",not_applicable,"Error en apertura de cuenta - funcionalidad específica"
2617,"La peor de las apps de banco. Siempre el mismo mensaje cuando intento realizar algùn pago ""Lo sentimos, en este momento no podemos....."" sus actualizaciones no hacen măs q empeorarla. Malìsima!!",not_applicable,"Fallas constantes en pagos"
2618,"En la versión anterior no ingresaba, desde la actualización ya ingresa, solo que aveces pones tu contraseña y dice ""ha ocurrido un error en la aplicación ingrese nuevamente"", y a la 2da o 3ra entra",not_applicable,"Mejora parcial con errores ocasionales"
2619,"Pésima, muy mala , es difícil ingresar, se tiene que intentar como 4 veces , siempre, se supone que la App es para facilitarnos el proceso pero es desesperante. De verdad.",not_applicable,"Necesidad de múltiples intentos para acceso"
2620,"Deja de funcionar todos los días, tengo que intentar como mínimo unas 4 veces para poder ingresar a mi cuenta y de misma manera para usar el plin, intentar como 3 veces más para que se pueda plinear.",not_applicable,"Fallas diarias requiriendo múltiples intentos"
2621,"Me pasó que se colgó en una transferencia y al ver la operación me salió un nombre ajeno a la cuenta. Terrible disgusto el que hacen pasar, adicional a qué no contestan en su centro de atención, como banco no son confiables.",integrity,"Transferencia muestra nombre de destinatario incorrecto - violación crítica de integridad"
2622,"Estimados señores, por favor, reparar su app con urgencia, se requiere pagar servicios y no se activa! No se puede ingresar ni siquiera a ver saldos! Los clientes exigen la disposicion de su dinero! Gracias.",not_applicable,"Imposibilidad total de acceso y pagos"
2623,"Era buena hasta el día de ayer... No puedo ingresar a mi cuenta, dice que hay un error en la aplicación . porfavor de soluccionar ese problema lo más antes posible.",not_applicable,"Degradación súbita de funcionalidad"
2624,"13/10/21 no carga el app. Cuando ingreso la contraseña y empieza a cargar... indica error y que intente más tarde. Lo intente muchas veces, ya desinstale y volví a instalarlo y nada. Es una tontería.",not_applicable,"Error de carga post-contraseña"
2625,"He tenido problema con lo del plin. Ps intento hacer algún envío de dinero y me sale con que la cuenta no existe. El cual le doy uso. No entiendo quisiera saber qué puedo hacer en ese caso. Porque hasta para que te atienda un operador existe problema hasta ahora llevo días intentando llamar y dar con algún operador y no cae.ni por espera",integrity,"Sistema indica cuenta inexistente para cuenta en uso - inconsistencia de datos"
2626,"La app no me permite ingresar, me dice que superé el número de intentos máximos del día cuando es la primera vez que intento ingresar. Es la segunda vez en dos meses.",authenticity,"Falso positivo de límite de intentos - bloqueo incorrecto de usuario legítimo"
2627,"Es muy mala esta aplicación, a veces se puede hacer plin y a veces no. También, te sale que no hiciste el plin pero al final si lo hizo y esto hace que puedas plinear hasta más de 2 veces al mismo número pensando que todavía no lo haces. No usen este aplicativo",integrity,"Ejecución silenciosa de transacciones duplicadas Plin - violación de integridad financiera"
2628,"Intento abrir la aps, ingreso mi dni y la contraseña y me sale ""hubo un error en la aplicacion inténtalo más tarde"" la contraseña la se muy bien. Necesito solución para saber mi número de cuenta que abrí hace poco, por emergencia necesito utilizarla ahora.",not_applicable,"Error tras ingreso correcto de credenciales"
2629,"Desde una semana no me aperece la pestaña ""Mi Lista"". Por favor si pudieran arreglarlo, ya que me facilitaba los pagos sin estar escribiendo los códigos de los recibos cada vez que deseo pagar un servicio.",accountability,"Desaparición de lista guardada - pérdida de configuración"
2630,"Que horrible, no se pueden hacer pagos de varios servicios, por ejemplo ElectroNorte, no la opción de lo de el número de suministro... Veo en las apps de otros bancos y en esas sí se visualiza.... La malograron, abres pagaba todos mis servicios por aquí",not_applicable,"Pérdida de opciones de pago específicas"
2631,"todo estaba bien hasta la ultima actualizacion , la cual no me permite ingresar a mi cuenta , apareciendome un mensaje de que hay una nueva version "" user-agent es requerido "" , despues preciono en aceptar del mensaje y me manda de nuevo a play store .",not_applicable,"Error técnico post-actualización con redirección cíclica"
2632,"PESIMO, me llega un mensaje de google play que mi pago ha sido rechazado,al ingresar al app no se puede,intente varias veces hasta q ingrese,me dirigí a google play para q vuelva a pasar mi pago y salía rechazado,yo tenía abierto el app,quería decir q si funcionaba pero seguía diciendo pago rechazado,otra vez vuelvo a ingresar al app y de nuevo no podía acceder,después de varios intentos ingresé y pedí a GP que cargue mi pago y si cargo,pero se debitaron 3 veces más.Solicito mi reembolso ASAP",integrity,"Múltiples débitos por mismo pago - violación grave de integridad financiera"
2633,"Últimamente no se puede ni acceder, sale error en la aplicación pero no explican el porqué ni cuando lo van a solucionar, ni siquiera por la web. Mínimo los clientes deberíamos estar informados ya que es demasiado molesto no poder hacer pagos cuando más se necesita.",not_applicable,"Falta de comunicación sobre errores de acceso"
2634,"Últimamente la app padece de muchos retrasos para ingresar, reporta error, a veces ingresa y en automático cierra sesión. Demora demasiado para cargar los datos si se quiere plinear.",authenticity,"Cierre automático de sesiones válidas"
2635,"No les daría ninguna estrella, que pésima aplicación. No me permite abrir el app, me dice que tengo programas que he verificado que no tengo y su centro de atención me dice que formatee mi móvil, por Dios! Totalmente pésimo.",resistance,"Falso positivo de detección de software - solicitud extrema de formateo"
2636,"Una tremenda decepción intento entrar a la App y no solo me dice que hubo un error y su número de atención al cliente nunca contestan un asco solo espero viajar para poder eliminar mis cuentas no valen la pena",not_applicable,"Error de acceso con mal servicio al cliente"
2637,"No sirve, sale : ""Has superado el número máximo de intentos para iniciar sesión. Por seguridad debes cambiar tu contraseña para volver a ingresar."" ,cuando es la correcta Cancelar Cambiar",resistance,"Bloqueo incorrecto forzando cambio de contraseña válida"
2638,"Pésima aplicación yo trabajo con ustedes tiempo hasta antes de la actualización podía ver mis saldos atravesar de la aplicación, con niña actualización me pedía actualice sus datos fui a la oficina hice la actualización y me dijeron ya esta, ahora solo puedo ver los saldos por cajero o abriendo la página web por qué por aquí me pide usuario le intenté 100 veces para nada estoy pensando cancelar mi cuenta y quedarme con el BCP que es Mac útil",authenticity,"Solicitud persistente de usuario tras actualización oficial en sucursal"
2639,"La aplicación anterior era mucho mejor. Esta es lenta y no permite guardar favoritos ni pagos frecuentes, sólo con un monto ya determinado. No me parece práctica para nada",authenticity,"Pérdida de funcionalidad de guardado de favoritos"
2640,"La actualización del 18/02/2021 no funciona en el Samsung s21 ultra no deja ni ingresar los datos, se cierra bien presionas el icono de la app . Totalmente perjudicial no nos deja ni abrir la app. Pésima actualización.",not_applicable,"Incompatibilidad con Samsung S21 Ultra"
2641,"Luego de actualización de la app me pide volver a poner todos mis datos y cuando quiero ingresar a mi cuenta me dice que hay un error que intente más tarde. Desde que ""actualizaron"" su app no me deja ingresar a mi cuenta por el celular",authenticity,"Pérdida completa de configuración post-actualización"
2642,"Todos estos ultimos días, el error es constante, no se puede entrar a la app durante horas..... creo que mejor guardo el dinero en el colchon y pago las cuentas en efectivo",not_applicable,"Errores constantes por días generando pérdida total de confianza"
2643,"es cierto cuando uno más necesita la app no da y sale error... eso le está pasando a todos. si le hicieran mantenimiento a la página de una vez para que mejore se los agradecería. pero no eso pueden.",not_applicable,"Error generalizado confirmado por múltiples usuarios"
2644,"Una vez más la app falla, a veces ni llegan los sms de seguridad para activar las opciones de tarjeta, ahora ni abre la app. Todo el tiempo anda fallando, Scotiabank es una desgracia.",authenticity,"Falta de SMS de seguridad para activación de opciones"
2645,"Peor que la anterior , sale « error» Y tengo dice que configurar mis datos y correo electrónico , está todo en orden , no entiendo la verdad ahors tengo que verlo todo en internet y yo quiero uno móvil que cólera , reorganicence más como empresa...y piensen mejor no la malogren ✌...",not_applicable,"Solicitud de reconfiguración con datos ya correctos"
2646,"Si se compraron cencosud hagan algo por ese banco reducido a caja, si no le van a crear su app al menos permitan que sus tarjetas se puedan incluir en la app de scotiabank para de alguna manera facilitar los pagos.",not_applicable,"Sugerencia de integración con tarjetas Cencosud"
2647,"solucionen el problema con la aplicación no se puede ingresar ya hice todo lo que tenía que hacer e desinstalado cada aplicación e incluso he formateado el celular y aún así sigue saliendo el problema de poder ingresar, ya es una semana con este problema, donde estan sus expertos de sistema señores de scotianbank...solucionen el problema",not_applicable,"Error persistente tras formateo completo del dispositivo - 1 semana"
2648,"Horrible, ingreso mi contraseña, cargando y cargando y al final aparece un error diciendo que cierre la aplicación y vuelva a intentar. Varios intentos y nada",not_applicable,"Error de carga tras ingreso de contraseña"
2649,"Hasta las wevas esta app tanto me hacen para descargar para que al final me. Digan que no puedo acceder que pena... Ahora como. Cojinoba tengo que irme hasta un cajero que esta como a 10 cuadras gracias por nada Nota.: dejen que al menos de la. Página ingre y no estar mandame a la app",not_applicable,"Imposibilidad de acceso forzando uso de cajeros físicos"
2650,"Estaba todo bien ahora me pide que vuelva a ingresar mis datos y cuando estoy por terminar de ingresar me sale que hubo un error y que vuelva a intentarlo más tarde, estoy desde hace 3 dias así y nada.",not_applicable,"Error persistente en reingreso de datos por 3 días"
2651,"Me pidió actualizar la aplicación pero ahora no puedo entrar, nunca me llega el msje de confirmación al celular, ya estoy afiliada a clave digital, lo realice en una agencia y usaba la app con normalidad I cluso hacia pagos y ahora con. La actualización ya no puedo entrar",authenticity,"Falta de mensajes de confirmación post-actualización pese a afiliación previa"
2652,"Señores no puedo hacer una transferencia o simplemente ingresar a ver mis cuentas porque sale error al ingresar a la aplicación o algo parecido porfavor corregirlo ya va más de una semana y uno tiene que ir a retirar y recién depositar porfavor en vez ayudarnos nos perjudica.",not_applicable,"Error de acceso por más de 1 semana impidiendo operaciones básicas"
2653,"La app funciona pero le doy una estrella por todas las veces en las que me ha fallado cuando la necesitaba. A veces no abre y dice error, a veces no me deja ni cargar mi celular, es problematica.",not_applicable,"Fallas recurrentes cuando más se necesita"
2654,"La instalé siguiendo todos los pasos hasta llegar a la clave digital que me llegó por mensaje. Luego me pidió acercarme a una agencia para obtener una clave digital. Me parece engorroso. Si ya pusiste un password, pusiste tu clave de tarjeta, pusiste la clave digital que te dieron, ¿para que tengo que ir al banco? Pues la verdad lo siento mucho pero me parece liado y desinstalé la app.",not_applicable,"Proceso de registro complejo requiriendo visita presencial"
2655,"Muy mala, intento muchas veces acceder al aplicativo, y siempre me aparece un mensaje que dice que hubo un error y que lo intente más tarde. Ya van dos días varias veces intentándolo. 👎👎👎 Espero lo solucionen.",not_applicable,"Error persistente por 2 días en múltiples intentos"
2656,"Desde ayer no se puede ingresar a la app, dice que intente más tarde , y hasta ahora no lo arreglar, estamos en estado de emergencia y no hacen nada para solucionar el error !!",not_applicable,"Error durante estado de emergencia sin solución"
2657,"Me acabo de instalar para ver cuanto llevo en mi cuenta y total que siempre me dice que hubo un error y que intente más tarde, pueden arreglar eso por favor, que aburre estar en ese plan...!!!",not_applicable,"Error inmediato en primera instalación"
2658,"Desde que actualizaron la app ya no puedo ingresar me pide todos los datos pero al último se tarda en cargar para que me diga que hubo un problema con la aplicación que los intente más tarde, que asco, necesito hacer operaciones por aplicación. Cuando solucionaran esto???",not_applicable,"Error persistente post-actualización tras solicitar todos los datos"
2659,"No se puede acceder sale mensaje gracias por usar nuestro servicio si desea hacer otra operación...... Que ha pasado y encima el banco demora en devolver ahorros que han sustraído por compras no efectuadas.",integrity,"Demora en devolución de dinero sustraído por compras no efectuadas"
2660,"Desde hace más de un mes no me permite realizar transferencias por Plin de montos de más de 100 soles, me llega el SMS con el token pero no me aparece donde digitarlo. La opción de huella digital también aparece como mensaje pero no me deja habilitarlo",authenticity,"Falla en proceso de autenticación para montos altos - token llega pero no se puede ingresar"
2661,"Hace dias q no puedo utilizar la app me pide q la actualice y cuando quiero actualizar no me permite, acabo de desinstalarlo y ya no se puede volver a instalar, esta terrible!!! Ojala mejoren porq tampoco tiene pra guardar numeros de cuenta como favoritos.",not_applicable,"Imposibilidad de actualización e reinstalación"
2662,"Está aplicación es malísima, cada rato me dice error , que mal nunca he tenido problemas con ningún banco reniego cuando quiero plinear ni para ir al banco tremenda cola y pocos agente pésima aplicación.",not_aplicapable,"Errores frecuentes comparados con experiencia en otros bancos"
2663,"No he tenido problemas antes con este aplicativo, pero este mes de agosto, simpre me sale, hubo un problema con el app, intente mas tarde, y no puedo ingresar, así es todo los días, por favor podrían erreglar eso,",not_applicable,"Error diario durante todo el mes de agosto"
2664,"La app no funciona. Incontables intentos de ingresar, aparece el logo y se cierra, un fiasco total. Sumado a los deficientes cajeros, acoso en llamadas por créditos y demás.",not_applicable,"Cierre automático tras mostrar logo"
2665,"Porquería de banco, tan grande y no puede tener una oficina en el departamento de Ayacucho, yo creyendo que es un banco serio opte por pedir mis pagos de planilla en ese banco para darme la sorpresa que no tienen ni ventanilla ni plataforma en Ayacucho es inservible, ahora tiene mi dinero retenido si poder darme una solución y su área de atención al cliente por llamada solo saben cortar. Do trabajen con este banco de porquería.",not_applicable,"Crítica general al banco por falta de oficinas físicas"
2666,"Arreglen la app Srs. Mucho falla. No carga los contactos y aveces no deja ingresar y sale contraseña invalida cuando uno coloca bien los datos de acceso. Ahora último la falla es q no carga los contactos para poder plinear",authenticity,"Rechazo de contraseña válida y falla en carga de contactos"
2667,"La app se queda pegada. Te bota de la aplicación. Te salen miles de mensajes de error y nisiquiera puedes entrar por la web todo este banco es una basura hasta que no arreglen su plataforma. Los que salimos perjudicados son los usuarios que necesitamos usar nuestro dinero y nos lo tienen acaparado cuando a los del banco les plazca y si se necesita con urgencia o para una emergencia entonce no se puede. Sinceramente un abuso y una burla para los usuarios de Scotiabank. El peor banco del peru",not_applicable,"Múltiples errores y imposibilidad de acceso por web también"
2668,"Buenas noches, acabo de sacar mi tarjeta de Debito, instale la aplicación, y me sale que vaya al Banco y actualize mi correo y número de celular, si acabo de hacer el trámite para sacar la tarjeta, obvio que esta actualizado, no tiene sentido que acabo de sacarla y vaya a dictarle los mismos números, y la idea de esta aplicación es ahorrae tiempo de ir al banco, y me piden que me acerque al Banco???",not_applicable,"Solicitud de actualización inmediata tras emisión de tarjeta nueva"
2669,"Pésima aplicación, soy cliente de este banco y cada vez que intento ingresar a la aplicación me sale error y que intente más tarde, siempre lo mismo, la aplicación funciona cuando se le da la gana.",not_applicable,"Error persistente - funciona esporádicamente"
2670,"Acabo de actualizar la app Y cada vez que quiero entrar me dice que ocurrió un error en la aplicación, que lo intente más tarde. Necesito realizar una operación.",not_applicable,"Error inmediato post-actualización"
2671,"El app está presentando muchas fallas, con el plin y también cada vez que se abre el app siempre se cierra una vez. Nos hace perder tiempo si queremos hacer un pago rápido",not_applicable,"Cierre automático sistemático en primera apertura"
2672,"La aplicación es nefasta, falla hasta para ingresar. Y si ingresas adentro también fallan las operaciones. En emergencias te quedas sin operaciones bancarias. La peor aplicación de bancos que existe actualmente.",not_applicable,"Fallas tanto en acceso como en operaciones internas"
2673,"Al principio estaba todo bien , pero actualmente quiero entrar ami cuenta y no puedo me dice usuario bloqueado dice que eh superado el número maximo de intentos para iniciar sesión . Por seguridad cambia tu contraseña , la cambie y me sigue dando lo mismo espero solucionen este problema porfavor 😠",resistance,"Bloqueo persistente incluso tras cambio de contraseña solicitado"
2674,"Alguien me puede explicar por que demonios, hacen un cambio sin tener el más mínimo de criterio de la diversidad de usuarios q existen. Casi más del 40% de usuarios Android tiene el equipo en root. Necesito transferir dinero y pagar quincenas y sueldos, arreglen esto lo más pronto posible o el lunes hago una interbancaria y cierro la cuenta.",resistance,"Restricción excesiva en dispositivos rooteados afectando operaciones críticas"
2675,"La interfaz gráfica es buena, pero tiene muchos problemas para iniciar sesión sale que intente más tarde varias veces y después de muchos intentos recién puedo ingresar.",not_applicable,"Múltiples intentos requeridos para acceso exitoso"
2676,"Ayer, 25 de julio, la aplicación me cobró 2 veces un depósito Plin que hice y aún no me lo devuelven. Si esto no es un robo descarado, ya no sé cómo llamarlo. Para cobrar lo que ellos quieren sí son rapiditos, pero para hacer devoluciones... nefastos. No vale la pena este banco.",integrity,"Cobro duplicado de depósito Plin sin devolución - violación de integridad financiera"
2677,"Como puedo usar esto, debería tener la misma app la opción de registrarte ahí y no buscar un enlace por Internet es imposible llevo dos meses sin poder hacer ninguna opción con la tarjeta y necesito realizar transferencias y a la vez que me depositen por otras cuentas y nada no se como ver mi información y para el colmo después de intentar me sale estamos en mantenimiento, una total decepción ya que la aplicación de otras bancos si viene para registrarse ahí mismo y correr el riesgo de entrar li",not_applicable,"Imposibilidad de registro por 2 meses y mantenimientos constantes"
2678,"Mejoren el app!!! De verdad que se considera bastante migrar a otro banco por estos detalles que son recurrentes. Siempre con errores y caídas por largas horas.",not_applicable,"Errores recurrentes con caídas prolongadas"
2679,"Este la peor app y el peor banco que he visto, no se para que crean una app donde no se puede hacer absolutamente nada, y para hacer transferencia debes activar la clave digital que en ningun cajero y agencia se puede activar una total basura.",authenticity,"Imposibilidad de activar clave digital en cajeros y agencias"
2680,"No puedo acceder a la aplicación desde que actualicé mi celu al android 10, veo que no soy el único al que le pasa. Por favor su ayuda ya que hasta hace unos días me iba de maravillas y ahora por mas que desinstalo e instalo la app no logro acceder a ella. Tengo un Samsung Galaxy Note 10 Plus",not_applicable,"Incompatibilidad con Android 10 en Samsung Note 10 Plus"
2681,"Al principio funcionaba excelente, bastante eficiente. Pero ahora siempre aparece un mensaje de error en la aplicación. Desinstalé y volví a instalar y nada. Ya no me gusta.",not_applicable,"Degradación de funcionalidad - antes excelente, ahora error constante"
2682,"Horrible la version anterior era mejor, esta version me da error a cada momento y no puedo ingresar a la aplicacion por lo tanto no merece ni una estrella.... Muy mal y descepcionado.",not_applicable,"Regresión funcional - versión anterior superior"
2683,"Porqueria de aplicación necesito hacer una transferencia urgente y ni x la web se puede ingresar ahora sale que están en mantenimiento x 1 hora....vuelvo a ingresar y nuevamente sale que funcionará dentro de 1 hora.....cuanto dura esa maldita hora para el banco, estoy intentando ingresar desde las 10 p.m........ahora cmo 🤬🤬 Hago la transferencia, tengo que enviar a un número con yape..desde las 10pn intentando ingresar ya son las 2 a.m....y nada",not_applicable,"Mantenimiento extendido falso - 4+ horas de intento sin resolución"
2684,"La verdad es que tengo muchos problemas con la aplicación son más de 4 veces en menos de 2 meses que me sale ""hubo un error en la aplicación"" si van a dar un servicio háganlo bien porque nos ponen en apuros",not_applicable,"Más de 4 errores en menos de 2 meses"
2685,"Muy mala la app tiene error al ingresar, cuando coloco la clave sale pensando y luego me bota con error clmo el tiempo de espera o intento fallido, estoy volviendo a reindtalar la app a pesar que esta actualizada",not_applicable,"Error de timeout tras ingreso de clave válida"
2686,"Está hasta la weba solo se cuelga y no se puede ingresar a la app y al momento de hacer pagos sale error y aveces por intentar sale doble pago. Q feo, si pudieran arreglarla porfavor.",integrity,"Pagos duplicados por errores en el proceso - violación de integridad financiera"
2687,"Por favor resuelvan el problema, desde que mi smartphone se actualizó a android 10 ya no quiere abrir la aplicación, la he desinstalado y he vuelto a instalar y no pasa nada. Por favor resolver.",not_applicable,"Incompatibilidad persistente con Android 10"
2688,"De rodas las aplicaciones de bancos, esta es la peor. Es lenta, te pide cambiar la clave a cada rato, el plin no funciona y te descuenta el saldo así diga error, pésimo servicio.",integrity,"Descuento de saldo incluso cuando muestra error - violación de integridad"
2689,"Necesito con urgencia usar esta banca móvil y no quiere abrir la aplicación, carga y cuando quiero poner el documento simplemente se cierra, y ya la he descargado varias veces.",not_applicable,"Cierre automático al intentar ingresar documento"
2690,"Últimamente el aplicativo tiene diferentes errores, ahora no puedo ingresar a valor mis pago porque sale error en la aplicación, intentar más tarde. Llevo con ese mensaje 2 días.",not_applicable,"Error específico en valoración de pagos por 2 días"
2691,"No se mereceria ninguna estrella es muy mala esta app, demasiados errores no se si lo que esta mal es la progrmación o el sistema de la aplicación pero la verdad de las app bancarias que utilizo esta es mala al igual que la aplicación de los descuentos no sirve de nada porque nisquiera inicia la sesión.",not_applicable,"Múltiples errores comparados negativamente con otras apps bancarias"
2692,"Pésima aplicación no me permite abrir mi cuenta sale que tengo que actualizar mi número de celular cuando en la aplicación anterior podía ver todo con normalidad es un fastidio. ACTUALIZARON LA APLICACIÓN PARA MAL",not_applicable,"Solicitud de actualización de datos tras regresión funcional"
2693,"Estimados, la aplicación era de gran ayuda, pero con la actualización es muy lenta y no permite entrar a la sección. Mi sugerencia es arreglar ese detalle. Para la mejora de la app y de todos los usuarios. Gracias por su atención",not_applicable,"Lentitud y pérdida de acceso post-actualización"
2694,"""Hubo un error, volver a intentar más tarde"", todo el día estoy intentando entrar x q necesitó hacer una transferencia importante y ni por la web deja, sigue saliendo el mismo error, me cambiaré de banca, si habría estrellas negativas, le daría, malditos HDP...",not_applicable,"Error todo el día impidiendo transferencia importante, falla también en web"
2695,"Ingreso a la aplicación y sale un cuadro con el siguiente mensaje ""la aplicación no se puede utilizar"". Espero que puedan solucionar cuanto antes el problema.",not_applicable,"Mensaje explícito de aplicación no utilizable"
2696,"Porque descargo la aplicacion scotiabank perú pero al momento de ingresar mi número de cuenta y mi clave dice hubo un error en la aplicacion y no entra nada xfavor me pueden ayudar ya e intentado de todas la maneras posibles y no puedo verlos movimientos de mi tarjeta... ya llevo casi 15 días así de querer ingresar hasta fui a banco y me habilitaron para ingresar con el número de mi celular aun no lo puedo ingresar...tiene algo q ver qtenga otra aplicación de otra banca en micelular ono importa",not_applicable,"Error persistente por 15 días tras habilitación en sucursal"
2697,"El día de ayer 29 de setiembre actualize la aplicación y desde ahí no puedo entrar, sale error en la aplicación, tan bien que funcionaba la versión anterior.",not_applicable,"Error inmediato post-actualización de versión funcional"
2698,"A cada rato sale que la aplicación a tenido un error no puedo ni confiar cuando me va a servir una la quiere usar por algo importante y siempre sale que la aplicación no se puede usar eso me causa mucha molestia Ojalá puedan mejorar eso",not_applicable,"Errores frecuentes generando pérdida de confianza"
2699,"Buenas si me puden dar apoyo. No he logrado utilizarla porque me sale el siguiente mensaje de error '''Por tu seguridad. mientras tengas aplicaciones similares a xPosed, Ramjet oSubstrate no podras utilizar el app. Si no puedes desactivarlas, desinstalarlas o el problema continua, cominicate con nosotros' . Y he revisado y no tengo ninguna de estas apps instaladas. Me podrian ayudar.",resistance,"Falso positivo de detección de aplicaciones de seguridad - aplicaciones no instaladas"
2700,"Antes de la última actualización era mucho más rápido y simple.Ahora es mucho más complicado y faltan opciones de pagos como el envío de dinero por cajero automático.",not_applicable,"Regresión funcional - pérdida de opciones de pago"
