id,comentario,clasificacion_seguridad
321,eata fallando no puedo abrir el apps,not_applicable
322,se desconecta a cada rato y para teniendo fallas,not_applicable
323,"Estado dos horas tratando de hacerme un auto depósito URGENTE a mi cuenta del banco SAGA FALABELLA y por ningún lugar de esta app pude hacerme este depósito,tengo las capturas como prueba,es indignante está situación ,ahora tendré que pagar penalidad por esta negligencia de este sistema,espero que esté banco me pague está penalidad,por este error del sistema. buenas noches.",not_applicable
324,esta bien 👍,not_applicable
325,"no me aparecen notificaciones para nada en mi cuenta digital de BCP , desinstalo y volví a instalar y nda , y me pide la última actualización espero respuesta gracias",accountability
326,bloquea tarjetas por falla del aplicativo,not_applicable
327,Bcp cada vez esta peor ya lo deben quitar del país no me deja hacer mis funciones diarias no se por que confíe en este banco 🏦,not_applicable
328,"No funciona fallas en la aplicación no quiere abrir en mi celular, hasta ahora no solucionan falla con el aplicativo banca móvil han pasado más de dos meses y no funciona en algunos celulares 📱 😔",not_applicable
329,que pasa con la app tengo que estar reiniciando el cel para poder usarla por favor solucionar...,not_applicable
330,Xq no puedo ingresar ami app del banco y ver mis movimientos,not_applicable
331,es una lastima y vergüenza q el banco más grande del Perú con sede en otros países no de solución a sus fallas en su app y su nro de wasapp sea una misma vaina ...cuando piensan dar solución a su app,not_applicable
332,me decepciona BCP con los creditos por eso mañana no más BCP es lo último q hago grasias por nada,not_applicable
333,muy mala actuación no puedo entrar a tengo que reiniciar mi celular para poder entrar es pésima,not_applicable
334,intento varias veces ingresar a la banca móvil y no me permite y esto es muy molesto.,not_applicable
335,buena,not_applicable
336,la aplicación no funciona hace ya un tiempo,not_applicable
337,"Esta última actualización es un desastre, no puedo revisar mis cuentas y dar seguimiento a mis gastos, ya no puede ver todas mis cuentas en solo lugar, es poco práctica y incómodo tratar con la interfaces de la App! que haga actualizaciones sin cambiar la organización de la interfaces de la App BCP.",not_applicable
338,esta muy lento,not_applicable
339,se cuelga a cada rato,not_applicable
340,"no tenía ningún problema con BCP asta que me di cuenta que la app está fallando,se pone en blanco después que pago algo,y no me sale el baucher se demora en cargar y debo cerrar la app y abrir pero no me sale ya el nombre de la persona,pero si se cobra y eso es un problema. Y esta actualizado.",integrity
341,"El aplicativo no funciona desde hace ya 2 meses, llegué a actualizar reinicie todo y nada simplemente sale q ocurrió un problema o desaparece el aplicativo, ayuda por favor 🥹🥹",not_applicable
342,siempre para fallando cuando uno mal lo necesita,not_applicable
343,la aplicación más de un dos meses que no funciona ya se actualizo lo volví a instalar y nada que puedo ingresar simplemente sale que la app sigue fallando ... y eso dificulta hacer las transferencias necesarias ...,not_applicable
344,"No me permite abrir mi banca Móvil, se cierra solo automáticamente.",not_applicable
345,"la app abre bien pero al momento de poner la contraseña de 6 dígitos no lo lee ,voy a banca por internet y ahi da bien ,eso que lo intente 2 veces porque la 3ra se bloquea el plástico,y lo peor no es esl , después de que da no llega el número de verificación al teléfono no al correo parece como si se extraviera en algún lugar o no lo genere o mande ,esto ya me paso 2 VECES y estoy con celular nuevo ,raraso ,no valla a ser como Interbank y su fuga de datos del 2024 ,arreglen eso programadores",authenticity
346,se congela y no quiere abrir la app. y no resuelven el problema,not_applicable
347,ya lleva casi un mes con el mismo error que no te deja ver los movimientos de tu tarjeta de crédito hasta ahora no lo soluciona,not_applicable
348,"le pongo 2 estrellas porque de hace un tiempo la app se cierra sola al igual que yape, yo no sé si es mi celular o las aplicaciones",not_applicable
349,"hace un mes que no funciona la app, se cierra automáticamente y aparece un error, ya son varios usuarios reportando el error y BCP no da solución. Pésimo.",not_applicable
350,La aplicación no funciona cuando actualizas tú token digital vencido por favor mejorar,authenticity
351,"No sirve, tediosa, llena de errores, no puedo hacer ni una simple transferencia. Lo único bueno que tiene BCP es Yape",not_applicable
352,"La app sigue sin funcionar en mi dispositivo Motorola, incluso fui al banco hace un mes a preguntar pero no dan solución posible de este problema.",not_applicable
353,"NO PUEDO INSTALAR LA BANCA MOVIL EN MI CELULAR, ME PUEDEN AYUDAR",not_applicable
354,no carga el app y no permite instalar. deberían actualizar su sistema. mucho que desear.,not_applicable
355,da coraje cuando quieres haces transferencias continuamente y uno está apurado y tienes que esperar muchísimos segundos para que actualice el token digital. saquen eso!,authenticity
356,"La nueva actualización 5.1.2 no sirve, todavía no me permite ingresar a la aplicación",not_applicable
357,actualización o destrucción de la app fue .. no se puede ingresar,not_applicable
358,Muy mala aplicacion porque me sale varias veces error ocurrio algo inesperado.,not_applicable
359,"Buenos días, no me deja configurar (Activar o Desactivar) Compras por Internet. Espero puedan solucionarlo, y el funcionaba bien...ahora cuando la activo para hacer mis compras, me sale en letras rojas que a ocurrido un error....!!!! Espero lo solucionen, Gracias",authenticity
360,"pésimo servicio y aplicación pésima, muy difícil para ver los movimientos de los pagos y el saldo de mi cuenta. 0 de 10",not_applicable
361,La aplicación falla no se puede abrir,not_applicable
362,No se puede descargar,not_applicable
363,para que funcione hay que reinstalar y solo funciona una vez luego lo mismo reinstalar ...,not_applicable
364,"pésima experiencia, se cuelga y no hay como pagar ni por yape ni la plataforma por internet",not_applicable
365,"El app no funciona no permite entrar, te salta un mensaje de error y te bota, pésimo servicio",not_applicable
366,la aplicación está fallando desde hace un mes,not_applicable
367,muy mal mi aplicativo no abre hace más de 3 semanas y no puedo seguir asi,not_applicable
368,"El apartado de Quore no carga, si dentro de la app ponen consultas de descuento y falla mejor hagan otra app aparte que si funcione.",not_applicable
369,si uno pide estado de cuenta de algún mes es para acordarse a quien envío tal dinero pero si mandan un estado de cuenta q no sale nada así no tiene chiste no soy adivina no tengo una bolita mágica para adivinar a quien mande esa transferencia entonces como puedo saber digamme si no sale nada,not_applicable
370,"0 estrellas, no se puede ingresar al aplicativo",not_applicable
371,pésimo,not_applicable
372,"hace un tiempo vengo notando que el precio de la compra en dólares es diferentes de otras personas. escogen como vender a cada cliente o que?, yo usualmente compro pero me parece un abuso esa diferencia.",integrity
373,La opción para sacar token digital por foto no sirve solo se que indicando acerca tu rostro a la cámara más nunca saca la foto esto ya esta desde febrero de este año y nunca viene una actualización de esta app,authenticity
374,PÉSIMO SERVICIO! ARREGLEN SU APP QUE NO NOS DEJA INGRESAR. DIJERON QUE HABÍA UN PROBLEMA DE COMPATIBILIDAD CON DISPOSITIVOS MOTOROLA QUE ARREGLARÍAN PARA EL 31 DE MAYO. YA ES 20 DE JUNIO Y NADA!!! COMO ES POSIBLEEEEE!! 👎👎👎,not_applicable
375,desde hace mucho tiempo estoy igual instalo el aplicativo y abre una vez y luego ya no vuelve a abrir nunca más,not_applicable
376,hace tiempo intento instalar el App y hasta ahora tengo inconvenientes.,not_applicable
377,requiero hacer una transferencia y se demora en recepcionar numeros se congela y no da ni para adelante ni para atrás igual espere,not_applicable
378,"No funciona bien el Qore, si antes era pésimo el sistema de beneficios BCP ahora es paupérrimo",not_applicable
379,qore no funciona,not_applicable
380,porque no puedo contar con esta aplicación en mi movil,not_applicable
381,"hace 1 mes que no puedo visualizar la app en mi celular, he actualizado y sigue igual, tengo que ingresar a play store y por ahi recien buscar la app y abrirlo..",not_applicable
382,se crashea al entrar ala aplicación,not_applicable
383,"No me llegan las notificaciones como antes si depositaban o cosas por el estilo, ahora último para pedir mi tarjeta de crédito me piden una notificación de código de seguridad pero la aplicación aunque este ""actualizada"" y todo aquello no envía nada.",authenticity
384,"pésimo , cambié con una tarjeta nueva y no se puede activar, estoy pensando cambiar de banco",not_applicable
385,"Desde hace un tiempo, la app presenta problemas para ingresar. He actualizado la aplicación, la he vuelto a instalar y aún así nada.",not_applicable
386,"desinstale y volví a instalar la aplicación y ahora la aplicación no me envía las notificaciones cuando alguien me hace un depósito, tengo los permisos activos y nada. arreglen eso porfavor",accountability
387,"la versión anterior era más amigable, ahora mucha publicidad, las funciones quedaron muy alejadas. No entiendo, hay cambios para malograr lo que funcionaba bien.",not_applicable
388,Cada vez que entro al App desinstalar ... se volvió terrible este App,not_applicable
389,la última actualización no abre en mi celular,not_applicable
390,No funciona el app.,not_applicable
391,"la aplicación pide como requisitos Android superior a 12 o compatible de software, lo han fregado con la actualización",not_applicable
392,la app esta malisima.,not_applicable
393,Buena apps,not_applicable
394,la app no funciona hace un mes le pongo una estrella,not_applicable
395,"no funciona la app, se cierra cuando uno quiere entrar, así lo instale de nuevo",not_applicable
396,E ingresado al desarrollador y me dice q mi equipo es compatible entonces q es lo q pasa porq no puedo abrir la app espero su respuesta porq me esta perjudicando,not_applicable
397,"Me sale error, que mi dispositivo no es compatible con la versión, ya actualice mi android pero sigue igual, ayuda.",not_applicable
398,no puedo realizar ningún deposito es la peor aplicacion que he tenido,not_applicable
399,"está fallando la app, siempre que quiero ingresar a la app se cierra y no deja entrar y tengo que desinstalar y volver a instalar y sigue cerrándose",not_applicable
400,"la verdad que hace como tres meses la app se queda al abrir en la pantalla y nada que funciona la verdad no se puede hacer gestiones y he tenido que pagar multa y he ganado problemas con la gestiones de pago que debo hacer ,xq no abre,,la verdad fatal y frustrante ...",not_applicable
