id,comentario,clasificacion_seguridad
167,"pésima desde la última actualización tengo q reiniciar mi equipo para q pueda acceder, ya reinstale como 5 veces y sigue igual solo funciona por unos minutos al momento de reiniciar. mejoren su app por favor da ganas de cambiarse a Scotiabank.",not_applicable
168,Se verifica problemas para realizar pagos y transferencias. Verificar urgente.,not_applicable
169,el nuevo formato de QORE no es bueno!,not_applicable
170,Que esta pasando con el token digital no me permite hacer las operaciones y a veces no abre el aplicativo,authenticity
171,pésimo pésimo no se puede ingresar al aplicativo desde hace varios meses no puedo ingresar al aplicativo,not_applicable
172,"bcp arregla esta porq.... aplicación, desde hace 12 horas que no se puede ingresar si pudiera ponerle zero de calificación lo haría",not_applicable
173,No.pu3dp visualizar mi app en pantalla de inicio soy Android,not_applicable
174,buena,not_applicable
175,muy pésimo,not_applicable
176,"Ya voy 3 meses o más desde que la app se actualizo y no me deja ingresar. tengo que usar la página web para ver mis cuentas y por último el warda de web va a cerrar , lo que le imposibilita su uso",not_applicable
177,"La app debería tener la opción de acceso vía huella digital, hasta la app Yape del mismo banco tiene acceso con huella. Solo por eso no le pongo 5 estrellas",authenticity
178,"Desde hace varios días no me permite realizar transacciones, favor de solucionar este punto. Gracias",not_applicable
179,"No sirve , uno quiere hacer movimientos bancarios y aparece que debo intentar de nuevo.",not_applicable
180,"Me aparece esta versión no es compatible con mi dispositivo, mi dispositivo es Samsung SM-G9600, por favor que puedo hacer",not_applicable
181,"muchas fallas a la hora del reconocimiento facial, vuelvo a instalar y desinstalar la aplicación muchas veces, sin ningún buen resultado.",authenticity
182,basura de app,not_applicable
183,guardar dinero,not_applicable
184,Pesimo servicio,not_applicable
185,"dejo de funcionar la app, ya va un mes y no lo arreglan",not_applicable
186,no me llega mi código de seguridad no funciona,authenticity
187,Muy mala todo el tiempo uno quiere hacer una transferencia o algo sale error o la aplicacion se cae es muy malo la verdad,not_applicable
188,"desde hace un mes que el token digital está sin funcionar. Quiero abrir el token y se cierra en automático, lo cual no permite hacer transferencias ni pagos de servicios. Ya he reinstalado y ahora cuando quiero habilitar token digital sale mensaje de error",authenticity
189,"es HORRIBLE!!! NO RECOMIENDO EL APP BCP, las personas necesitan mover su dinero o hacer transferencias y la App del BCP falla, ya son meses que no me deja entrar, el app se cierra y no permite acceder, y no dan ni una respuesta o una solución solida",not_applicable
190,más de 1 mes que no se puede utilizar simplemente no entra. ya lo volví a instalar y nada pésimo,not_applicable
191,"posee muchos errores para ingresar nuevamente después de haber hecho un ingreso previo, debe mejorar esto",not_applicable
192,no ingresa el aplicativo ya tengo problemas de hace 15 días y no dan ninguna solución al respeto,not_applicable
193,Malisimo,not_applicable
194,es bueno,not_applicable
195,"El lector de QR desde el app del bcp no sirve para pagar en POS de establecimientos, en ello el ibk, sbk y BBVA les llevan la delantera, ya que puedo scanear cualquier qr (ya sea bileterra o pos de cualquier procesadora) sin limitarse a solo el yape o culqui",not_applicable
196,"no sirve, ni puedo ingresar, pongo todo hasta mi clave y después se cierra solo",not_applicable
197,se para colgando la aplicación,not_applicable
198,q no puede registrar mi foto,authenticity
199,No me deja activar compras en internet,authenticity
