id,comentario,clasificación
55,ya son 2 dias que no puedo abrir el app,not_applicable
56,Estoy tratando de abrir la aplicación y abre y se cierra inmediatamente. Agradeceré solucionar el problema.,not_applicable
57,Después de esta última actualización no me permite ingresar a la App???,not_applicable
58,"No puedo entrar a la aplicación, simplemente trato de entrar y desaparece ni siquiera me da la opción de ingresar mis datos",not_applicable
59,No me deja descargar la aplicación sale que no es compatible deberían tener en cuenta eso,not_applicable
60,para la narración del depocito o mensaje opcional es tan corta que no deja explicar el contenido del depocito muy mala la aplicación 👎,not_applicable
61,hasta las webas todas mis cuentas de pueden visualizar desde una sola y no hay independencia de ellas...cuando separen cada cosa tal vez volveré,not_applicable
62,No me permite hacer los pagos de a la universidad 😞,not_applicable
63,"Mi aplicación no abre, solo se cierra",not_applicable
64,nunca había tenido problemas sien embargo hoy intenté hacer una operación de transferencia y la intentar abrir mi token me manda al inicio de la app no me muestra el token. y cuando intento hacer una transferencia me dice BM9999 ha ocurrido un error en el servicio. algo que es triste ya que necesitaba hacer esa transferencia no hay explicación de nada no me llegó ningún correo y lo peor la app está actualizada sin problemas,authenticity
65,no se puede ingresar nada...,not_applicable
66,"Llevo dias qué no puedo descargar mi banca móvil BCP, estaba funcionando muy bien, hasta que me pidió actualizar y se queda cargando hasta 25% y no levanta.",not_applicable
67,"no deja actualizar o modificar nada, ni token ni nada totalmente inútil",authenticity
68,Hay inconvenientes con el app de bcp?... No permite ingresar al aplicativo y se cierra automáticamente 😨,not_applicable
69,"La app estaba muy bien, pero con estas 2 últimas actualizaciones ya no recibo Notificaciones Push de las transferencias que me hacen!! solo recibo notificacion de novedades, ofertas y promociones. Ya reinicié el telefono, reinstalé la app incluso restablecí a fabrica mi telefono, pero el error persiste. Brindenme una solucion por favor",accountability
70,Todo iba perfecto ninguna queja sobre la app pero como hace dos semanas no me deja pagar servicios ni hacer un yape desde la aplicación creí que sería por unos días pero ya pasaron casi dos semanas y sigue igual A que se debería ese problema?,not_applicable
71,buena,not_applicable
72,"al momento de querer habilitar el token ni siquiera me permite tomar la foto, porque ni siquiera está el botón de cámara en la pantalla! solo aparece la x para cerrar esa pestaña, de verdad, cómo programan esta aplicación?",authenticity
73,No funciona mi app,not_applicable
74,acabo de actualizar y no me permite hacer transferencia a otras cuentas de otros bancos. necesito una ayuda para poder realizar todas las operaciones.,not_applicable
75,"Hace días no permite hacer transferencias,ni pagos de servicios...",not_applicable
76,funciona pero ando está fallando,not_applicable
77,"Tengo una duda e ingreso al bcp chat de WhatsApp y se demoran en responder a mi consulta, pésimo servicio",not_applicable
78,ESTOY TRATANDO DE INGRESAR A LA APP Y NO PERMITE.... CARGA Y LUEGO SE CIERRA.... ALGUIEN QUE PRESENTE LA MISMA SITUACIÓN.... OH QUE SOLUCIÓN HAY?,not_applicable
79,Desde el sábado no puedo ingresar a la app del BCP. Han actualizado la versión por otra más actual???,not_applicable
80,"El app presenta fallas casi siempre, se queda cargando con la pantalla azul que dice BCP y no hay cuando se pueda poner la clave para el acceso, tengo que cerrar la app cada vez. Un detalle importante, no te muestran cuanto desgravamen te cobran mensual por el uso de tarjeta de crédito, actualmente otros bancos de perú ya tienen esa opción en su banca móvil, Pero BCP no está corrigiendo .. pd: Hay que descargar el estado de cuenta de cada mes par tener que ver cuanto desgravamen te cobran",not_applicable
81,"la aplicación es buena, PERO NO PUEDO PAGAR ESCANEANDO EL QR DEL BANCO BBVA CONTINENTAL , ES MUY FRUSTRANTE IR A VARIOS ESTABLECIMIENTOS Y QUE TENGAN SOLO EL QR BBVA Y ESTA APLICACION SIMPLEMENTE NO LEE EL QR, DONDE QUEDO LA INTEROPERATIVIDAD.",not_applicable
82,No puedo abrir mi aplicacion,not_applicable
83,"Aplicativo basura, ingreso al aplicativo y se cierra solo. Arreglenlo hagan algo decente.",not_applicable
84,No puedo activar y desactivar las compras por internet desde el app 😡,authenticity
85,excelente,not_applicable
86,"la app se cuelga últimamente y se cierra, no puedo hacer ninguna operación, no cambiaré mi puntaje hasta que no resuelvan el inconveniente",not_applicable
87,"últimamente está fallando muchas veces, no permite el acceso al app",not_applicable
88,"Salvo alguna ocasion funciona bien, pero no entiemdo para que incluyeron los beneficios en la app, con tanta inseguridad yo no saco el telefono donde la tengo instalada a la calle igual hacen muchas personas, ahora no puedo usar los beneficios, es como que quisieran que no los usemos.",confidentiality
89,No apertura la aplicación,not_applicable
90,"Deberían permitir, realizar giros nacionales desde el app, así mismo poder tener acceso al historial de operaciones, mediante descarga en PDF al correo afiliado en el app.",not_applicable
91,"Tengo problemas en abrir la aplicación hace 2 días, tengo por hacer transferencias y no puedo. Por favor ayúdenme",not_applicable
92,mejorar el guardadito no tiene sentido habilitarlo y va seguir reflajando el saldo,not_applicable
93,NO puedo hacer yapes del aplicativo BCP,not_applicable
94,es muy buena,not_applicable
95,terrible en estos momentos no funcionan,not_applicable
96,la peor banca móvil 😡,not_applicable
97,"Me molesta tanto cambio a cada rato y tanta clave, demasiada perdida de tiempo para el usuario.",authenticity
98,no pued transferir dinero sale error,not_applicable
99,"Si aplicación no sirve, el token digital se para desicronizando y no te deja transferir dinero, para solucionarlo tienes que reinstalar la app y si quieres hacer transferencias tienes que esperarte hasta el día siguiente ya que al de sincronizarse detecta como actividad sospechosa cada transferencia fallida y suspende tu cuenta por 24 horas.",authenticity
100,hace una semana que no puedo hacer ninguna transferencia,not_applicable
101,"Tengo un problema, no puedo ingresar a la aplicación, coloco mi clave y se cierra la app. Necesito una solución al respecto. Pésima aplicación.",not_applicable
102,"cuando funciona, funciona bien",not_applicable
103,Antes funcionaba mejor!,not_applicable
104,bien,not_applicable
105,sigo sin solucionar el mismo problema la app se cierra,not_applicable
106,que es lo que pasa conmigo por dios es increíble,not_applicable
107,pésimo para pagar servicios siempre me sale espera un minuto,not_applicable
108,esta lento,not_applicable
109,"Cada vez que intento hacer una transferencia o pago, sale error y no permite realizar la gestión",not_applicable
110,mala experiencia no me deja abrir mi aplicativo de bcp a mi celular me obligan a tener clave de bloqueo y Yí no quiero no me gusta tener en mi celular clave de desbloqueo cada vez queno lo uso,authenticity
111,No funciona a cada rato se apaga.,not_applicable
112,Bien,not_applicable
113,"no puedo yapearme o hacer pagos, ni pedir token digital, sale error y nada",authenticity
114,no sé abre .. el aplicativo,not_applicable
115,"no me deja ingresar, directamente me expulsa",not_applicable
116,😊,not_applicable
117,mala,not_applicable
118,La aplicación de Bcp muchas veces se malogra y piden muchas actualizaciones y eso incomoda al usuario,not_applicable
119,"a pesar que configuro mi tarjeta para evitar compras por internet, han habido veces en que algunos aplicativos se han cobrado sin mi consentimiento, es la unica queja que tengo, porque todo funciona bien.",integrity
120,fallando,not_applicable
121,es muy tedioso,not_applicable
122,"desde ayer no puedo hacer pago efectivo, igual intente en banca por Internet y nada, que paso?",not_applicable
123,no puedo ingresar,not_applicable
124,"no me funciona desde hace unos meses, instalo y desinstalo y nada :(",not_applicable
125,es dificultoso,not_applicable
126,no se puede ingresar con huella digital,authenticity
127,Deben de poner un notificado de deposito,not_applicable
128,No pude ingresar,not_applicable
129,mejoren los detalles de movimientos de la cuenta es la única aplicación de banco mas basica,not_applicable
130,no abre rápido,not_applicable
131,"Estoy presentando muchos problemas como no me deja activar o desactivar compras por Internet, además que no funciona la opción retiro sin tarjeta",authenticity
132,Porque no se puede descargar la app en el equipo Huawei y7 2019,not_applicable
133,no me deja ingresar,not_applicable
134,"como es posible que no lleguen las notificación de una transferencia recibida o de algún yapeo, porque yo uso yape desde el app",not_applicable
135,entro a la plataforma y mi pantalla se pone blanco y negro...,not_applicable
136,pésimo servicio,not_applicable
137,"no funciona adecuadamente, se cierra al Apple y no da solucion",not_applicable
138,No pasa nada falla mucho,not_applicable
139,éstos últimos días la app tiende a cerrarse al momento de ingresar mi clave de internet.,not_applicable
140,"no me envíen al navegador por que no pondré mis datos en una página farmeada, dejenme iniciar sesión desde la app",authenticity
141,hace como 2 meses instalo reinstalo y sigue fallando ya no sé qué hacer con el aplicativo,not_applicable
142,"chevere tu servicio para actualizar, arregla esa porquería",not_applicable
143,"desde hace varios meses que no puedo iniciar sesión, al ingresar mi clave la aplicación de cierra inmediatamente.",not_applicable
144,Cambie mi chip a otro celular y no me deja abrir la app. no me gusta.,not_applicable
145,buenas no puedo realizar transferencia solo puedo hacer una operación y luego se cuelga el app,not_applicable
146,"solo abre una vez y después no lo hace, si quiero volver a usar la APK tengo que borrar datos, desinstalar y luego volver a instalar o reiniciar mi celular",not_applicable
147,"Desde hace tres meses no puedo ingresar a la aplicación, instalo y desinstalo y nada",not_applicable
148,ase varias semanas ya con el app instalado .pero al momento que ingreso mi contraseña digital no ingresa .,not_applicable
149,no me deja crear mi clave de internet sale error siempre le doy una estrella y lo cancelo ya no quiero😡😡😡😡,authenticity
150,no me deja entrar ala aplicasion,not_applicable
151,no funciona nunca.,not_applicable
152,bueno,not_applicable
153,apenas lo istalo y se sale de aplicacion,not_applicable
154,quiten el bloqueo en la aplicacion sinceramente que estresa de verdad eso es mi sugerencia,authenticity
155,muy lento la app,not_applicable
156,desde ayer esta fallando el token digital y asimismo no puedo realizar el deposito a plazo fijo me sale error . volver a intentar desde ayer favor de solucionar,authenticity
157,no funciona se cuelga el sistema,not_applicable
158,sería genial que se pueda acceder a la app con huella digital para evitar poner la contraseña y que lo puedan ver,authenticity
159,No logra ingresar,not_applicable
160,no funciona en mi dispositivo,not_applicable
161,"buenas tardes , pero deberian mejorar la App para mejor usó, no es posible que halla instalado más de una vez y aún así no funciona ni ingresa a la app",not_applicable
162,"Funcionaba decentemente hasta finales de Junio 2025. Ahora ya no permite pagar servicios, van varios días con ese problema. Se tendrá que cambiar a Interbank ya que ellos fallan menos",not_applicable
163,"buenas noches, hoy me pagaron, pero no me subió el crédito, es mi primera vez que me sucede esto, de la nada abro mi cuenta y no encuentro mi pago de la semana, por favor necesito una solución",integrity
164,una buena atención muy amable,not_applicable
165,no funciona esta app,not_applicable
166,"no sé puede ingresar a la app , uno actualiza el teléfono , instala nuevamente la app y nada pésimo el servicio",not_applicable
167,"pésima desde la última actualización tengo q reiniciar mi equipo para q pueda acceder, ya reinstale como 5 veces y sigue igual solo funciona por unos minutos al momento de reiniciar. mejoren su app por favor da ganas de cambiarse a Scotiabank.",not_applicable
168,Se verifica problemas para realizar pagos y transferencias. Verificar urgente.,not_applicable
169,el nuevo formato de QORE no es bueno!,not_applicable
170,Que esta pasando con el token digital no me permite hacer las operaciones y a veces no abre el aplicativo,authenticity
171,pésimo pésimo no se puede ingresar al aplicativo desde hace varios meses no puedo ingresar al aplicativo,not_applicable
172,"bcp arregla esta porq.... aplicación, desde hace 12 horas que no se puede ingresar si pudiera ponerle zero de calificación lo haría",not_applicable
173,No.pu3dp visualizar mi app en pantalla de inicio soy Android,not_applicable
174,buena,not_applicable
175,muy pésimo,not_applicable
176,"Ya voy 3 meses o más desde que la app se actualizo y no me deja ingresar. tengo que usar la página web para ver mis cuentas y por último el warda de web va a cerrar , lo que le imposibilita su uso",not_applicable
177,"La app debería tener la opción de acceso vía huella digital, hasta la app Yape del mismo banco tiene acceso con huella. Solo por eso no le pongo 5 estrellas",authenticity
178,"Desde hace varios días no me permite realizar transacciones, favor de solucionar este punto. Gracias",not_applicable
179,"No sirve , uno quiere hacer movimientos bancarios y aparece que debo intentar de nuevo.",not_applicable
180,"Me aparece esta versión no es compatible con mi dispositivo, mi dispositivo es Samsung SM-G9600, por favor que puedo hacer",not_applicable
181,"muchas fallas a la hora del reconocimiento facial, vuelvo a instalar y desinstalar la aplicación muchas veces, sin ningún buen resultado.",authenticity
182,basura de app,not_applicable
183,guardar dinero,not_applicable
184,Pesimo servicio,not_applicable
185,"dejo de funcionar la app, ya va un mes y no lo arreglan",not_applicable
186,no me llega mi código de seguridad no funciona,authenticity
187,Muy mala todo el tiempo uno quiere hacer una transferencia o algo sale error o la aplicacion se cae es muy malo la verdad,not_applicable
188,"desde hace un mes que el token digital está sin funcionar. Quiero abrir el token y se cierra en automático, lo cual no permite hacer transferencias ni pagos de servicios. Ya he reinstalado y ahora cuando quiero habilitar token digital sale mensaje de error",authenticity
189,"es HORRIBLE!!! NO RECOMIENDO EL APP BCP, las personas necesitan mover su dinero o hacer transferencias y la App del BCP falla, ya son meses que no me deja entrar, el app se cierra y no permite acceder, y no dan ni una respuesta o una solución solida",not_applicable
190,más de 1 mes que no se puede utilizar simplemente no entra. ya lo volví a instalar y nada pésimo,not_applicable
191,"posee muchos errores para ingresar nuevamente después de haber hecho un ingreso previo, debe mejorar esto",not_applicable
192,no ingresa el aplicativo ya tengo problemas de hace 15 días y no dan ninguna solución al respeto,not_applicable
193,Malisimo,not_applicable
194,es bueno,not_applicable
195,"El lector de QR desde el app del bcp no sirve para pagar en POS de establecimientos, en ello el ibk, sbk y BBVA les llevan la delantera, ya que puedo scanear cualquier qr (ya sea bileterra o pos de cualquier procesadora) sin limitarse a solo el yape o culqui",not_applicable
196,"no sirve, ni puedo ingresar, pongo todo hasta mi clave y después se cierra solo",not_applicable
197,se para colgando la aplicación,not_applicable
198,q no puede registrar mi foto,authenticity
199,No me deja activar compras en internet,authenticity
200,"la app no está funcionando correctamente , mucho se congela .. aveces cuando uno está apurado no responde rápido la aplicacion mucho demora es bien tedioso .",not_applicable
201,"El App no funciona, llame al centro de servicio y me dicen q no funciona para mí modelo de celular Motorola, que debo hacer? comprarme otro celular?",
202,siempre hay error en el sistema,
203,no se puede ingresar. inicia pero se apaga la aplicación. no solo es este celular sino en los demás moto G60s,
204,Fallas para iniciar la App,
205,muy mala no se puede ingresar al aplicativo horrible problema,
206,"no sirve su app para poder logearme ,de paso me robaron la tarjeta ni sirve su máquina para recuper",
207,no pude obtener los movimientos de mi tarjeta de débito???,
208,siempre falla pésimo,
209,ojalá dieran la opción como en bbva de pagar exactamente el gasto que querramos de la tarjeta de crédito,
210,"esta aplicación no escanea los nuevo dni electrónicos 3.0 y eso afecta a muchos, quería iniciar sesión pero no me deja, fui a la oficina del banco en mi ciudad y me dijeron que todavía no reconoce, porfavor ya pasaron meses y no se actualizan, una desgracia",
211,"Si van a instalar esa app, les recomiendo desactivar las notificaciones de la app, porque al día de hoy no existe un apartado para suspender la publicidad como lo tiene cualquier banco decente.. créanme la publicidad es muy invasiva, ni siquiera cuando les comunicas que no deseas, y que suspendan no se puede hacer nada.",
212,"Que tal !! Estoy tratando de actualizar mi correo porque necesito tener mi estado de cuenta, pero no me deja, por lo visto al momento escribieron mal mi correo y ahora tengo problemas para actualizarlo desde la APP....",
213,pura promesa y no lo cumple,
214,"Hace Días no puedo ingresar al App , y hoy lo desinstale para volverlo a instalar y me salió un mensaje de que el App ya no estará disponible para algunos dispositivos y eso a qué se debe ? pueden nombrar los dispositivos o las características.",
215,no abre el app,
216,nunca puedo usar el app siempre se me cierra cada q quiero entrar,
217,no funciona,
218,"Muy mala la aplicación, no deja ingresar se cierra, mejoren urgente ello",
219,"no puedo ingresar a mi app en mi cel. me sale ocurrió un error es más de 15 días, hasta formate mi cel y nada",
220,pésimo,
221,"mi app no se abré, solo dice error y se cierra solo.",
222,"La manera en que no se puede activar el token y los problemas que tiene la app no me ayudan, no puedo colocar mas de una tarjeta a la app la interfaz se ve muy simple ya no está como para ver tus demas tarjetas, implementen eso porfavor para ver mis demas tarjetas en soles y en dólares",
223,problemas de ejecución con esta app,
224,No me permite ingresar indica fallas,
225,no habre,
226,A cada rato cae el sistema,
227,"es una porquería 😡 yo suelo cuadrar mis cuentas en la madrugada y no funciona es una basura de aplicación o los programadores del banco no dan buen soporte, deberían cambiarlos... mala experiencia",
228,"Señores del BCP, ME URGÍA ENVIAR DINERO URGENTE el día de ayer. perjudican las acciones, pues hoy tampoco nada. me pides volver a abrir cuenta llego al paso fotos hay queda. "" INTENTE MAS TARDE ESTAMOS TRABAJANDO"" ...........Me arruinaron el envío para viaje del exterior del país....mmmmmm.",
229,"me a causado mucha perdida de tiempo intentar que ingresé la app, no abre o se demora un montón en abrir la app",
230,"Le daría cero a este banco, te impone para todo usar su app, en cajero no se puede ver los últimos movimientos ni el saldo, ademas te impone también darle tu biometría facial para registrarte cuando otros te dan opciones de SMS o huella digital para que tú elijas cuánta seguridad quieres",
231,bien gracias,
232,las actualizaciones no me dejan ingresar... dame 4 actualización atrás BCP XD eres terrible,
233,"desinstale y volví a instalar y no funciona la app desde hace semanas, necesito hacer operaciones y no me sirve",
234,La app no me deja ingresar por ende no puedo abrirla y ver la cantidad de dinero que necesito cambiar a yape,
235,Lamentablemente no funciona,
236,"tengo problemas con la aplicación, que sale error cuando quiero abrir mi cuenta , no solía pasar el error pero ahora no se cuál es el problema que tiene .",
237,está fallando no quiere abrir actualizo y nada. lleva un tiempo fallando pero ahora ya no entra dice que hay problemas con el servicio,
238,en la noche no funciona,
239,ya tengo varios meses que pongo la clave y me saca de el aplicativo mejorar eso porfavor,
240,"últimamente está fallando demasiado, más de la cuenta",
241,pesimo se para colgand cyando mas lo.necesitas,
242,"Cuando quiero hacer una transacción me sale BM 9999, no puedo hacer las transacciones. No cuento con Facebook... Quiero hacer una reclamación y el formato de reclamo no cuenta con las opciones de mi reclamo, una burla a los clientes del BCP",
243,No me llegan encuestas,
244,Gracias excelente,
245,"desde hace más de 2 meses la App no funciona, la desinstalo la vuelvo instalar y cuando ingreso me bota . y necesito enviar mi C ci con urgencia.",
246,"No permite hacer transferencias/yapeos mediante la app, de montos regulares. Pésimo",
247,Mala mi experiencia en Qore Bcp. No carga. Los descuentos los pone todos juntos. En lugar de mejorar lo hicieron estresante la aplicación. Ahora que se renueva los beneficios. Me pone más descuento en uno pero me dice que ya la use si yo haberla usado. Un desastre.,
248,"xq no puedo activar mi toquen digital ? cuando uno llama contesta un robot, y no te pasan con un asesor ,ir a la banco es perdida de tiempo, para q me activen mi clave digital tengo q ir al banco??....xq x mi cel no puedo hacerlo? xq no mejorando sus sistema , no puedo transferencia me piden mi clave toquen digital, estoy harta de este banco...en el mensaje me sale q tengo q ir directamente al banco...o te mandan al WhatsApp, y un robot te resolverá el problema ..es el colmo",
249,no puedo transferir me sale error bm9999 mi celular es redmi note 11,
250,"hace meses no puedo realizar mis operaciones con normalidad, he actualizado y nada mal servicio",
251,"está aplicación compro solito la seguridad de la tarjeta cuando yo no la autorice, una mala aplicación si ase ese tipo de cosas",
252,instale la aplicación pero no me quiere aceptar nose qué pasa y voy días intentándolo de verdad quiero mi banca movil,
253,Esta hasta las patas esta app,
254,una.porqueria no sirve la.aplicacion ... para la.foto.nunca sale mala aplicacion,
255,muy buena la aplicación lo uso mucho,
256,no puedo ingresar nunca,
257,me siento frustrado con este aplicativo simplemente no funciona no puedo hacer ningún movimiento que decepción.,
258,"quiero transferir me sale error, problemas con el servidor y ya me cansé de desinstalar e instalar y siempre lo mismo",
259,"desde que actualice, me bota cada vez que quiero entrar",
260,no sirve lo instale en mi celular Moto G60s desaparece cada vez que pongo mi clave y luego sale fallido cerrar aplicación. lo reinstalado como 10 veces igual :(,
261,no sirve no puedo pagar mis servicios ni hacer transferencias,
262,pesimo aplicación ingreso mi contraseña todo pero de vuelta me manda ingresar contraseña lo ingreso pero de vuelta me dice ingresa nosé que ases ya,
263,"No funciona, se cierra inesperadamente",
264,"Una porquería de app no, malisima",
265,"pésima app, no abre cuando la necesitas",
266,"No puedo crear mi clave de Internet, para entrar a la banca móvil, me sale error y que me comunique con 311-9898 pero nada, no entiendo que pasa, si el reconocimiento fácil me acepta, pero al momento de poner mi clave no me acepta",
267,no entiendo,
268,"no deja comprar por Internet o extranjero por fallas del token. nadie responde al cel, el chatbox no tiene opciones para la app, solo desinstalar. Ir a sus locales tardan +1hora en atender no puede ser la única solución.",
269,llevo mas de un mes con está aplicación que no funciona enserio que colera ya parece el banco de la nación la apps cada vez que quiero ingresar pongo mi clave y está cargando para ingresar y no ingresa para poder lograr ingresar tengo q apagar y prender el celular me pone de mal humor este mal servicio que está teniendo la aplicación,
270,Banca movil no me permite instalar y la necesito este aplicativo esta fallando,
271,"no puedo entrar en la aplicación , realmente la necesito y tengo que usar un celular anterior, creo que sí el problema no se soluciona tendré que cambiar de banco",
272,esta fallando,
273,no permite ingresar tarjeta nueva de personas. Los beneficios qore se demoran en cargar,
274,"desde hace mucho que el aplicativo , está teniendo fallas y no me deja abrir , la aplicación automáticamente se cierra y no puedo hacer mis operaciones a través. de la banca móvil.",
275,"siempre que me aparece los anuncios los intento quitar pero es imposible , siempre que acaba el anuncio no toco nada de la pantalla y aún así me manda para la aplicación y eso lop odió.",
276,"No me permite realizar mis operaciones ni consultas, todo el tiempo me señala que llame a soporte",
277,se inftzl correctamente pero no habré la aplicación,
278,"Actualice la aplicación y solo funcionó una vez, ahora cuando intento ingresar se cierra la aplicación",
279,no está funcionando la app se cuelga cuando ingresan todo y se sale de la app cuál es el motivo,
280,"no funciona, tengo que desinstalar e instalar para que funcione una vez y luego nunca más abre se cierra solo al poner la contraseña",
281,le encuentro muchas fallas,
282,la aplicación no funciona todo estaba bien y tengo más de dos meses que no puedo hacer uso de banca móvil que problema uno que tienes que hacer pagos. se servicios básico no puedo hacer tengo q ir hasta un cajero y sacar efectivo exponerme con tanta inseguridad porq simplemente no funciona está app que le han hecho que dejo de funcionar,
283,la aplicación más nunca me abrió,
284,"una vez me funcionó, después no inicia seción. siempre se cierra la aplicación y no puedo ingresar a la Banca Móvil 😔",
285,pésimo servicio,
286,"Tengo el nuevo DNI 3.0 e intento generar mi clave por internet, pero el sistema no reconoce mi documento cuando me pide la captura de pantalla. Fui a una agencia y me dijeron que siguiera intentando, que en algún momento lo reconocerá, pero no ha funcionado. Volví a ir y, esta vez, me indicaron que necesitan actualizar su aplicativo y que lo harán recién en un mes. Me están dando dos versiones distintas y, mientras tanto, no puedo avanzar. Considero que debería poder hacerse el trámite directo",
287,"sus colas son muy largas, muy poca eficiencia en su servicio de atención al cliente una verdadera lastima para sacar una sola tarjeta",
288,le doy una estrella solo para dejar mi mensaje aquí en realidad no le doy ni una estrella por la aplicación no funciona cuando quiero abrir la aplicación se sierra solo no me deja ingresar,
289,"NO DEBERÍAN OBLIGARNOS PARA ACTUALIZAR, DEBERIAN DARNOS OPCIONES.",
290,"tengo problemas con el aplicativo en mi celular, es nuevo pero no puedo abrir mi app apenas ingreso la clave y se cierra y no me deja ingresar, prácticamente no puedo abrirla por más q tengo la última versión",
291,No abre se cierra hace tiempo mi Cel es moderno y nada,
292,"falla todo el tiempo, no permite ingresar",
293,no funciona el recargar para bitelpay . encambio con interbank app sí,
294,No instala,
295,no sirve esta aplicación no puedo hacer depositos,
296,Buena app aunque suele fallar y debería tener cvv dinámico.,
297,"Da falsos positivos de ""usar root"" en custom roms como LineageOS y la opción de yapear desde la app del BCP tiende a no funcionar al enviar a billeteras con Plin (porque Yape como app tiene mucho spam)",
298,"Llevo más de un mes sin poder acceder, ingreso mi clave de banca móvil y la app se cierra de forma automática. Solución porfavor.",
299,no habre,
300,Varias veces no quiere entrar o se tarda,
301,no puedo abrir wl aplicativo,
