id,comentario,clasificacion_seguridad
54,Cada vez que trato de ingresar a la app se cierra automáticamente sin poder abrirla muy mal,not_applicable
55,ya son 2 dias que no puedo abrir el app,not_applicable
56,Estoy tratando de abrir la aplicación y abre y se cierra inmediatamente. Agradeceré solucionar el problema.,not_applicable
57,Después de esta última actualización no me permite ingresar a la App???,not_applicable
58,"No puedo entrar a la aplicación, simplemente trato de entrar y desaparece ni siquiera me da la opción de ingresar mis datos",authenticity
59,No me deja descargar la aplicación sale que no es compatible deberían tener en cuenta eso,not_applicable
60,para la narración del depocito o mensaje opcional es tan corta que no deja explicar el contenido del depocito muy mala la aplicación 👎,not_applicable
61,hasta las webas todas mis cuentas de pueden visualizar desde una sola y no hay independencia de ellas...cuando separen cada cosa tal vez volveré,confidentiality
62,No me permite hacer los pagos de a la universidad 😞,not_applicable
63,"Mi aplicación no abre, solo se cierra",not_applicable
64,nunca había tenido problemas sien embargo hoy intenté hacer una operación de transferencia y la intentar abrir mi token me manda al inicio de la app no me muestra el token. y cuando intento hacer una transferencia me dice BM9999 ha ocurrido un error en el servicio. algo que es triste ya que necesitaba hacer esa transferencia no hay explicación de nada no me llegó ningún correo y lo peor la app está actualizada sin problemas,authenticity
65,no se puede ingresar nada...,not_applicable
66,"Llevo dias qué no puedo descargar mi banca móvil BCP, estaba funcionando muy bien, hasta que me pidió actualizar y se queda cargando hasta 25% y no levanta.",not_applicable
67,"no deja actualizar o modificar nada, ni token ni nada totalmente inútil",authenticity
68,Hay inconvenientes con el app de bcp?... No permite ingresar al aplicativo y se cierra automáticamente 😨,not_applicable
69,"La app estaba muy bien, pero con estas 2 últimas actualizaciones ya no recibo Notificaciones Push de las transferencias que me hacen!! solo recibo notificacion de novedades, ofertas y promociones. Ya reinicié el telefono, reinstalé la app incluso restablecí a fabrica mi telefono, pero el error persiste. Brindenme una solucion por favor",not_applicable
70,Todo iba perfecto ninguna queja sobre la app pero como hace dos semanas no me deja pagar servicios ni hacer un yape desde la aplicación creí que sería por unos días pero ya pasaron casi dos semanas y sigue igual A que se debería ese problema?,not_applicable
71,buena,not_applicable
72,"al momento de querer habilitar el token ni siquiera me permite tomar la foto, porque ni siquiera está el botón de cámara en la pantalla! solo aparece la x para cerrar esa pestaña, de verdad, cómo programan esta aplicación?",authenticity
73,No funciona mi app,not_applicable
74,acabo de actualizar y no me permite hacer transferencia a otras cuentas de otros bancos. necesito una ayuda para poder realizar todas las operaciones.,not_applicable
75,"Hace días no permite hacer transferencias,ni pagos de servicios...",not_applicable
76,funciona pero ando está fallando,not_applicable
77,"Tengo una duda e ingreso al bcp chat de WhatsApp y se demoran en responder a mi consulta, pésimo servicio",not_applicable
78,ESTOY TRATANDO DE INGRESAR A LA APP Y NO PERMITE.... CARGA Y LUEGO SE CIERRA.... ALGUIEN QUE PRESENTE LA MISMA SITUACIÓN.... OH QUE SOLUCIÓN HAY?,not_applicable
79,Desde el sábado no puedo ingresar a la app del BCP. Han actualizado la versión por otra más actual???,not_applicable
80,"El app presenta fallas casi siempre, se queda cargando con la pantalla azul que dice BCP y no hay cuando se pueda poner la clave para el acceso, tengo que cerrar la app cada vez. Un detalle importante, no te muestran cuanto desgravamen te cobran mensual por el uso de tarjeta de crédito, actualmente otros bancos de perú ya tienen esa opción en su banca móvil, Pero BCP no está corrigiendo .. pd: Hay que descargar el estado de cuenta de cada mes par tener que ver cuanto desgravamen te cobran",accountability
81,"la aplicación es buena, PERO NO PUEDO PAGAR ESCANEANDO EL QR DEL BANCO BBVA CONTINENTAL , ES MUY FRUSTRANTE IR A VARIOS ESTABLECIMIENTOS Y QUE TENGAN SOLO EL QR BBVA Y ESTA APLICACION SIMPLEMENTE NO LEE EL QR, DONDE QUEDO LA INTEROPERATIVIDAD.",not_applicable
82,No puedo abrir mi aplicacion,not_applicable
83,"Aplicativo basura, ingreso al aplicativo y se cierra solo. Arreglenlo hagan algo decente.",not_applicable
84,No puedo activar y desactivar las compras por internet desde el app 😡,authenticity
85,excelente,not_applicable
86,"la app se cuelga últimamente y se cierra, no puedo hacer ninguna operación, no cambiaré mi puntaje hasta que no resuelvan el inconveniente",not_applicable
87,"últimamente está fallando muchas veces, no permite el acceso al app",not_applicable
88,"Salvo alguna ocasion funciona bien, pero no entiemdo para que incluyeron los beneficios en la app, con tanta inseguridad yo no saco el telefono donde la tengo instalada a la calle igual hacen muchas personas, ahora no puedo usar los beneficios, es como que quisieran que no los usemos.",confidentiality
89,No apertura la aplicación,not_applicable
90,"Deberían permitir, realizar giros nacionales desde el app, así mismo poder tener acceso al historial de operaciones, mediante descarga en PDF al correo afiliado en el app.",accountability
91,"Tengo problemas en abrir la aplicación hace 2 días, tengo por hacer transferencias y no puedo. Por favor ayúdenme",not_applicable
92,mejorar el guardadito no tiene sentido habilitarlo y va seguir reflajando el saldo,confidentiality
93,NO puedo hacer yapes del aplicativo BCP,not_applicable
94,es muy buena,not_applicable
95,terrible en estos momentos no funcionan,not_applicable
96,la peor banca móvil 😡,not_applicable
97,"Me molesta tanto cambio a cada rato y tanta clave, demasiada perdida de tiempo para el usuario.",not_applicable
98,no pued transferir dinero sale error,not_applicable
99,"Si aplicación no sirve, el token digital se para desicronizando y no te deja transferir dinero, para solucionarlo tienes que reinstalar la app y si quieres hacer transferencias tienes que esperarte hasta el día siguiente ya que al de sincronizarse detecta como actividad sospechosa cada transferencia fallida y suspende tu cuenta por 24 horas.",authenticity
100,hace una semana que no puedo hacer ninguna transferencia,not_applicable
