id,review,confidentiality,integrity,non_repudiation,accountability,authenticity,resistance,not_applicable
11,"Por qué obligan a poner doble seguridad incluso bloqueo facial, pin, patrón del teléfono? Eso ya es muy molesto. Siempre he usado deslizar en el celular eso también es un tipo de bloqueo de celular pero ustedes no lo admiten, obligan a poner otros patrones de desbloqueo más complejos que hacen perder el tiempo, y si me va a decir que es por mi seguridad le recuerdo que la clave DINÁMICA de 6 números y que varía cada vez que entro a la app BCP es suficiente, más con el chip que está a mi nombre.",0,0,0,0,1,0,0
12,"Y ahora porqué nos quieren obligar a poner y usar bloqueo de pantalla en el móvil??? Yo no tengo y no quiero usar bloqueo de ningún tipo, pues para mí es así más fácil y sobretodo rápido por mi trabajo... y sucede que uds me 'exigen' hacerlo, sino no podré usar su app BCP?? NO ME PARECE, pues esa es DECISIÓN DE CADA UNO. En todo caso pueden crear más seguridad para la app BCP, eso sí sería aceptado. Necesito hacer pagos y usar MI DINERO y no puedo hacerlo. Solucionen yaaaa por favor.",0,0,0,0,1,0,0
13,"No veo necesario, que por su actualización, te obliguen a usar un bloqueo de pantalla del celular para poder acceder a la app, hay muchas personas que no optamos por eso debido a diversos motivos. De ser posible, por favor remuevan eso o sino que haya la opción de poder decidir si la usamos o no.",0,0,0,0,1,0,0
14,"La banca móvil es bastante necesaria, muchas veces tenemos muchas ocupaciones, y se nos muestra opcional recurrir a este sistema de banca, para poder pagar algunas cuentas, que muchas veces personalmente no podemos. Sería también necesaria la seguridad, en cuanto se tienen ahorros, aplicar la urgencia si suceden actos como robos del celular, una medida rápida de crear un sistema de bloqueo rápido, o simplemente que el operador haga el bloqueo más rápido que el susodicho, y poder confiar.",0,0,0,0,1,0,0
15,"Tengo un problema al momento de crear mi token digital, al momento de tomar las fotos me manda otra vez al inicio, no hay manera de avanzar, estuve tomándome como 50 fotos y casi siempre me mandaba al inicio. Intente durante varios días pero el resultado es el mismo. Hasta ahora no pude crear mi token digital. Espero me ayuden. Gracias",0,0,0,0,1,0,0
16,"Tengo un problema al momento de crear mi token digital, al momento de tomar las fotos me manda otra vez al inicio, no hay manera de avanzar, estuve tomándome como 50 fotos y casi siempre me mandaba al inicio. Intenté durante varios días pero el resultado es el mismo. Hasta ahora no pude crear mi token digital. Espero me ayuden. Gracias",0,0,0,0,1,0,0
17,"Con la nueva actualización no puedes acceder a la app si es que no has activado elementos de seguridad en el celular como bloqueo por PIN, huella o patrón. Entiendo que es por seguridad, pero en verdad es muy tedioso tener que abrir el teléfono con huella o patrón, peor aún cuando necesite uno abrir el teléfono constantemente.",0,0,0,0,1,0,0
18,"La opción de reconocimiento facial para la activación del token digital no es compatible con los nuevos Samsung s24 ultra, se realizó múltiples intentos y en diferentes horarios, mas de 3 días intentando activar el token sin éxito. Actualización, el 1 de marzo del 2024, fui a las oficinas y me indican que es un error en todos los dispositivos nuevos y que aun no tiene solución, que ya están con ese problemas mas de 1 mes y no hay fecha de solución y que la mejor opción es comprar un token físico.",0,0,0,0,1,0,0
19,"Desde la última actualización obliga a qué le pongas bloqueo de pantalla y si ignoras dicho pedido simplemente no te permite usar la app. Podrían eliminar esa condición, es por seguridad imagino, pero algunos no usamos el teléfono solamente para abrir dicha app, lo cual perjudica el acceso inmediato a tu celular.",0,0,0,0,1,0,0
20,"La última actualización obliga a tener un patrón de bloqueo en el teléfono que no debería exigir. Si uno no quiere o no utiliza ningún patrón tiene que colocarlo sino no puede utilizar la aplicación. Debe corregirse y si quiere utilizar un patrón de bloqueo que sea en la misma aplicación y no generalizar al teléfono.",0,0,0,0,1,0,0
21,"De la app estoy harto que pida clave de pantalla no tienes derecho de obligar a ponerla para entrar a su app una clave, eso depende de cada usuario según el uso que le da y el equipo quien lo maneja decepcionante para robar en cada transacción y pedir mantenimiento de tarjeta de débito en cuenta corriente o cobro obligatorio de token y cobro obligatorio de envío EC físico, si son buenos ladrones.",0,0,0,0,1,0,0
22,"Desde hace dos semanas no puedo utilizar la app debido a que la última actualización pide bloqueo de app con patrón, cosa que ya lo tenía desde antes y a pesar de ello no puedo efectuar ningún tipo de transacción debido a que no se me permite iniciar la app ya que siempre me manda a los ajustes del celular",0,0,0,0,1,0,0
23,"La verdad es que no entiendo por qué la app pide un modo de bloqueo de pantalla con esta última actualización. Yo no la he configurado porque, cuando la tuve, en un momento dado la máquina no me reconoció para desbloquearlo y tuve que resetear desde el recovery. Yo no veo necesario ello y crea problemas para algunos usuarios como en mi caso.",0,0,0,0,1,0,0
24,"Útil pero su última actualización que obliga a poner contraseña al celular es muy invasiva y demora más el uso del celular al tener que estar poniendo la contraseña, debería ser opcional o usar una 2da clave solo para la app y no perjudicar todo el uso de los equipos.",0,0,0,0,1,0,0
25,"Antes, te iba perfectamente bien con el tema del token digital, que para hacer mis pagos, el token se agregaba de manera automática al momento de finalizar el pago, pero ahora que quiero hacer un pago me pide un número de token, y tengo que regresar hasta al inicio, ir hasta la opción de token digital, ver el código del token, grabármelo de memoria, y solo me queda 1 minuto, así que tengo que regresar rápido hacia la operación, y omg, todo un tema ¿qué pasó?",0,0,1,0,0,0,0
26,"La aplicación me pide poner un bloqueo al teléfono en sí, antes, yo por seguridad le puse un bloqueo a la misma aplicación. Si ya tiene su pantalla de bloqueo, ¿qué tanto le importa si tengo que ponerle una pantalla de bloqueo al celular?, solo me retrasa al querer usar el teléfono, no le veo sentido.",0,0,0,0,1,0,0
27,"La aplicación para Android es pésima, te hace tomarte fotos repetidas veces para que no sirva y te hace perder tiempo, luego para validar el token no actualiza y cuando vas al agente no figura la activación. Pésimo que hagan perder el tiempo a la gente de esa forma.",0,0,0,0,0,1,0
28,"Nunca utilizo bloqueo de teléfono y ahora BCP pide que configurar un método de bloqueo de teléfono para usar la app. ¿Quién fue el genio que incluyó esa función? Si no lo hago no abre la app. Es fastidioso recordar un PIN de un teléfono privado, ya cada quien sabrá cómo cuidar su información y su equipo telefónico. No andar obligando a usar esa función. Sera motivo para dejar de usar ese banco. Felizmente las billeteras ahora son interoperables.",0,0,0,0,1,0,0
29,"Hace poco cambié de celular y me piden activar nuevamente el token digital, cuando ingreso con la opción de identificación de rostros no lo valida, he intentado varias veces pero no logro pasar las validaciones.",0,0,0,0,1,0,0
30,"Token digital, me dan la opción para activar por reconocimiento facial. El problema es que su app no sirve, y me sale full error y ahora yo tengo que ir a acercarme personalmente. Al menos déjame volver a intentar en la app o soluciona algo tan importante.",0,0,0,0,1,0,0
31,"El banca móvil funciona bien y es necesario que muchas veces tenemos que salir a hacer cualquier pago, solo que hay un problema desde la última actualización que al iniciar sesión pide que configuremos la contraseña. Por favor, pueden eliminar lo de antes, estaba bien...",0,0,0,0,1,0,0
32,"Te obliga a poner un patrón de contraseña en el celular. Eso es demasiado molesto e incómodo. Cada vez que se apaga la pantalla es necesario volverlo a poner. Estoy esperando que respondan mi queja.",0,0,0,0,1,0,0
33,"1 hora tratando de activar mi token digital mediante el reconocimiento facial (para cambiar de un teléfono a otro), pero a pesar de que las fotos salían muy bien y con excelente iluminación, SIEMPRE ME SALÍA 'Estamos teniendo problemas con el reconocimiento facial' y no me decían exactamente qué... Si estaba borroso, poca iluminación, mal posicionado, etc. Ya me cansé y aún así no pude activarlo. (El teléfono es de buena calidad en cuanto a fotos). Me niego a ir a un BCP solo para activarlo.",0,0,0,0,1,0,0
34,"No sé por qué tienen que obligar para acceder a la app tener que poner una clave al celular. En todo caso, si quieren bloquear la app con clave, que sea solo para la app y no todo el teléfono. Por esa razón, prefiero usar las otras apps de bancos que te piden contraseña o PIN para acceder sin necesidad de bloquear todo el teléfono",0,0,0,0,1,0,0
35,"Es una buena aplicación bancaria con sus múltiples funciones, sin embargo, con la última actualización es demasiado invasiva que sí o sí te pide poner contraseña. Eso tiene que ser opcional a decisión del usuario y no condicionar para usar la app.",0,0,0,0,1,0,0
36,"Está bien la app, pero eliminen el uso de bloqueo de pantalla. Hay personas que no usamos eso por motivos de apuro o gente mayor que se puede olvidar del patrón o PIN. No es obligación usar el bloqueo, antes estaba mejor cuando normal se abría la app sin usar el bloqueo, pero ahora mejor voy a ver por la banca por internet en Chrome si la app no va a funcionar porque tengo la obligación de aperturar el bloqueo en mi celular.",0,0,0,0,1,0,0
37,"Totalmente un desastre desde la última actualización, no me permite abrir el app si en mi celular no tengo una opción de bloqueo. O sea, por ellos tengo que poner una opción de bloqueo. BCP se van a la misma con esa nueva opción de supuesta seguridad cuando el robo es cibernético.",0,0,0,0,1,0,0
38,"¿Por qué obligan a poner código de desbloqueo? Uso mi celular para mi negocio (tienda), y me quita mucho tiempo desbloquearlo con un código cada vez que quiera usarlo. Realizo recargas, uso el Yape constantemente, reviso precios e inventario de mis productos, uso WhatsApp para recibir pedidos, y una infinidad de cosas más. Si quieren agregar más seguridad, háganlo solo para la aplicación del BCP, ¡por favor!",0,0,0,0,1,0,0
39,"No me permite activar el token digital con reconocimiento facial. Ya lo he intentado en múltiples oportunidades y sigue fallando. Esta situación me obliga a ir a un canal presencial.",0,0,0,0,1,0,0
40,"Es inaceptable que el BCP imponga que debamos poner un código de seguridad de pantalla para poder acceder a usar la app del BCP. Cada usuario es responsable del uso y seguridad de nuestros celulares, sin embargo, BCP quiere que pongamos una contraseña de seguridad de pantalla y eso hace perder tiempo y gastar más rápido la batería del celular. Totalmente mal BCP por no respetar e imponer este nuevo procedimiento para hacer uso de su app.",0,0,0,0,1,0,0
41,"Nadie tiene que obligarme a poner un patrón de seguridad y una clave en mi celular para usar una app. La seguridad la tiene que tener la app y no que yo tenga que ponerle seguridad a mi teléfono. Esto demuestra que tu app no es buena y necesita la seguridad de los demás para que no sea vulnerable. Por tal motivo he dejado de utilizar esta aplicación a la cual me está obligando a que yo tenga que poner un sistema de seguridad por algo que tiene que hacer el banco.",0,0,0,0,1,0,0
42,"Una decepción total cada actualización, ¿por qué exige clave al celular ahora? Sin eso no se accede a BCP Móvil, cuando se supone que es suficiente con nuestra clave BCP, ¿para qué una al teléfono y todavía obligatoriamente sino no ingresa?",0,0,0,0,1,0,0
43,"Semanas intentando activar el token digital, me cambié a BCP porque me comentaron que es una excelente opción, pero por nada del mundo puedo activar el token digital y veo que no soy la única. Me dan la opción del token físico que cuesta 25 soles, ¿cómo es posible eso? Bueno, al final tendré que dar de baja en BCP ya que nadie puede ayudarme con el token digital",0,0,0,0,1,0,0
44,"Un fiasco absoluto, ¿por qué obligan a usar el token digital si no pueden garantizar su uso 24/7? Para más inri, obligan a usar un protector de pantalla, caso omiso, no puedes acceder. No lo recomiendo, sin embargo es de uso obligatorio, pésimo servicio es quedarse corto. De ser posible, usen otro banco.",0,0,0,0,1,0,0
45,"Deberían implementar entrar con huella digital a la app móvil, así sería mucho más seguro, ya que uno a veces está en el transporte y nunca falta la persona que te mira sin darse cuenta cuál es tu clave.",0,0,0,0,1,0,0
46,"Es una usar su 'token digital', no funciona bien. Uno se cansa de estar mirando a la cámara y pare botando de nuevo al botón de inicio",0,0,0,0,1,0,0
47,"Muy mal obligarme a poner bloqueo de pantalla al teléfono solo para usar esta aplicación y así revisar mi cuenta. Pésimo, sería opción a elegir. Quien desea usará bloqueo para el celular, pues yo no lo quiero y prácticamente me obligan. Mal... debería haber la opción para elegir u omitir.",0,0,0,0,1,0,0
48,"Todo, problema... Más bien incomodidad o no sé para algunos usuarios, pide obligatoriamente tener patrón en el mismo teléfono y pues es un poco tedioso en gustos de algunos usuarios.",0,0,0,0,1,0,0
49,"La última actualización es una DESGRACIA. Ahora me obligan a ponerle pantalla de bloqueo a mi celular, ninguna otra aplicación de banca móvil tiene este atrevimiento, y no me vengan a decir que es por mi seguridad, yo decido en MI CELULAR no ustedes. Espero nunca más volver a usar esta aplicación.",0,0,0,0,1,0,0
50,"El app no se puede usar si no tienes contraseña de bloqueo de pantalla. Me parece pésimo que te obliguen ir a ajustes siempre que quieres abrir el app.",0,0,0,0,1,0,0
51,"Me pregunto quién habrá sido el que se le ocurrió implementar el reconocimiento facial obligatorio. Nunca logra igualar las fotos que te tomas con las de tu DNI y la Reniec. ¡Qué pésima aplicación! Prefiero cambiar de banco a seguir intentando activar mi token.",0,0,0,0,1,0,0
52,"Hay un bug con la activación del token digital. Estoy tomando la foto para activarlo, supuestamente la realiza y me redirige al mensaje para tomar la foto. No me genera ningún mensaje de error ni de validación incorrecta, por lo que termina en un bucle infinito entre tomarse la foto y el mensaje para tomar la foto. Estoy usando un Samsung A54 y la app está actualizada.",0,0,0,0,1,0,0
53,"Eliminen eso de la contraseña de bloqueo, por culpa de eso no puedo ingresar a la app y no se configura así entre a ajustes, que pesados, vuelvan a la normalidad.",0,0,0,0,1,0,0
54,"No sé qué pasó con la última actualización, pero no se puede realizar la verificación por rostro para el Token Digital. Sería bueno corregir.",0,0,0,0,1,0,0
55,"¿Qué le importa si pongo o no código de bloqueo a la aplicación si es de mi uso personal? Me parece una falta de respeto que me obliguen a eso y por eso no puedo realizar ninguna transferencia.",0,0,0,0,1,0,0
56,"No funciona la validación de selfie. Todo el día tratando de verificarme con selfie y nada. El selfie sale nítido sin brillos ni nada, pero no logra validar. Al final dice que sale error y que vuelva a intentar más tarde. Todo el día está así.",0,0,0,0,1,0,0
57,"El hecho de que te obliguen a utilizar un patrón de bloqueo. Hay personas que no usamos eso porque es una pérdida de tiempo y la app te obliga",0,0,0,0,1,0,0
58,"En el momento de escanear mi rostro, no lo cubro y estoy en un lugar iluminado, y aún así no lo escanea. Llevo 3 días haciendo lo mismo para poder crear mi clave internet y ninguna respuesta.",0,0,0,0,1,0,0
59,"Me parece un total desatino pedir que coloque una clave a mi celular. Es decir, ahora estoy condicionado y no tengo la libertad de acceder a mi cuenta. No sé qué clase de criterio tienen. Parece que nunca piensan en el cliente.",0,0,0,0,1,0,0
60,"Por la seguridad de la cuenta, mejor es el bloqueo en la aplicación. A mí personalmente me perjudica el bloqueo general. Mi teléfono lo uso para constantes diseños. Por favor, modifiquen esa opción",0,0,0,0,1,0,0
61,"Desde hace unos días no puedo abrir la cuenta porque me pide ir a ajustes para ponerle un bloqueo a mi teléfono de trabajo desde casa, y cuando salgo, a veces lo hago hasta sin teléfono. ¿Qué necesidad de ponerle bloqueo? No entiendo. No me da la gana de bloquear mi teléfono, ya es suficiente clave para entrar a la app, se pasan.",0,0,0,0,1,0,0
62,"El que ahora se requiera un patrón de desbloqueo de pantalla no es lo mismo que agregar una capa más de seguridad, ¿quién permitió que se agregara este feature a la app?",0,0,0,0,1,0,0
63,"Mal tener que obligar a colocar un patrón para usar la app, quieren mejorar la seguridad háganlo a nivel del app. No obligar a usar algo que no es necesario para poder usar otras funciones del móvil, desde abrirlo.",0,0,0,0,1,0,0
64,"No deberían obligar a bloquear MI celular. En todo caso pónganlo como OPCIONAL. Eso es meterse en decisiones privadas y ANTICONSTITUCIONAL. Esto es como si el gobierno o alcalde le ponga clave a tu casa o auto para que ingreses. Realmente no sé en qué piensa el autor. Ese dato no es necesario para corregir tremenda aberración. Lo haré llegar mi reclamo a los entes pertinentes. Ud es un obsecado.",0,0,0,0,1,0,0
65,"Esta actualización no me permite acceder al token digital al hacer reconocimiento facial. Nunca carga la imagen, siempre sale vuelta a tomarse la foto. Solucionen por favor.",0,0,0,0,1,0,0
66,"No se puede activar el token digital con reconocimiento facial. Entra en bucle después de completar la toma de foto (el círculo amarillo) y nunca lo realiza.",0,0,0,0,1,0,0
67,"Pésimo, el querer obligar a que se ponga un código de seguridad. La mayoría usa su cuenta para los negocios y desbloquear un equipo es una pérdida de tiempo. Si se quiere dar mayor seguridad hágalo con su aplicativo no con el equipo móvil. Y como siempre este tipo de reclamo no tiene respuesta siempre lo pasan por alto. Al encargado de estás ideas absurdas mayor seriedad con tus propuestas. Tu visión del mundo real al parecer es nula. Sal de tu burbuja.",0,0,0,0,1,0,0
68,"Pésimo, el querer obligar a que se ponga un código de seguridad. La mayoría usa su cuenta para los negocios y desbloquear un equipo es una pérdida de tiempo. Si se quiere dar mayor seguridad hágalo con su aplicativo no con el equipo móvil. Y como siempre este tipo de reclamo no tiene respuesta siempre lo pasan por alto. Al encargado de estas ideas absurdas mayor seriedad con tus propuestas. Tu visión del mundo real al parecer es nula. Sal de tu burbuja.",0,0,0,0,1,0,0
69,"Cambié de teléfono y ahora no puedo activar el token digital, cada vez que quiero usar eso del reconocimiento facial la pantalla se queda cargando o en oscuras, ahora no puedo pagar nada mediante la app.",0,0,0,0,1,0,0
70,"La app me pide actualizar la contraseña cada 30 días, lo cual es molesto pero entiendo que es por seguridad. Sin embargo, ¿no podrían implementar un sistema de autenticación biométrica para hacer el proceso más fácil y seguro?",1,0,0,0,0,0,0
71,"Me preocupa que la app guarde mi historial de transacciones por defecto. Debería haber una opción para borrar el historial o que no se guarde automáticamente para proteger mi privacidad.",1,0,0,0,0,0,0
72,"Aprecio que la app se cierre automáticamente después de unos minutos de inactividad, esto ayuda a proteger mis datos si olvido cerrar sesión. Buen trabajo en la seguridad.",1,0,0,0,0,0,0
73,"La función de ocultar el saldo con un solo toque es genial para cuando uso la app en público. Me siento más seguro sabiendo que nadie puede ver mi información financiera por accidente.",1,0,0,0,0,0,0
74,"Me gustaría que hubiera una opción para usar un PIN de 6 dígitos en lugar de 4. Siento que sería más seguro y difícil de adivinar para proteger el acceso a mis cuentas.",1,0,0,0,0,0,0
75,"La app no permite hacer capturas de pantalla, lo cual es molesto a veces, pero entiendo que es una medida de seguridad para proteger mi información. Quizás podrían implementar una función para compartir información de forma segura.",1,0,0,0,0,0,0
76,"Recientemente, la app comenzó a pedir una verificación adicional para transferencias a nuevos destinatarios. Es un poco más de trabajo, pero me hace sentir que mis fondos están más protegidos.",1,0,0,0,0,0,0
77,"Me gusta que la app ofrezca la opción de usar un 'modo incógnito' que no guarda el historial de sesión. Es útil cuando necesito revisar mis cuentas en un dispositivo compartido.",1,0,0,0,0,0,0
78,"La app debería tener una opción para enmascarar automáticamente los números de cuenta en los comprobantes de transferencia que se pueden compartir. Actualmente, tengo que editar las capturas manualmente para proteger mi privacidad.",1,0,0,0,0,0,0
79,"Aprecio que la app use encriptación de extremo a extremo para las transacciones, pero sería bueno si explicaran más claramente cómo funciona esto para que los usuarios entiendan mejor cómo se protege su información.",1,0,0,0,0,0,0
80,"La app registra detalladamente todas mis operaciones, lo cual es genial para llevar un control de mis gastos y también para reportar cualquier actividad sospechosa si fuera necesario.",0,0,0,1,0,0,0
81,"Me gusta que la aplicación envíe notificaciones instantáneas por cada movimiento en mi cuenta. Me ayuda a detectar rápidamente si hay alguna transacción que yo no haya autorizado.",0,0,0,1,0,0,0
82,"Sería útil si la app proporcionara un registro de los dispositivos desde los cuales se ha accedido a mi cuenta. Esto mejoraría la seguridad y me permitiría verificar si alguien más ha intentado entrar.",0,0,0,1,0,0,0
83,"Aprecio que la aplicación me permita descargar un informe detallado de todas mis transacciones en formato PDF. Es muy útil para mis registros personales y para fines fiscales.",0,0,0,1,0,0,0
84,"La función de 'actividad reciente' es muy útil, pero sería aún mejor si mostrara la ubicación aproximada desde donde se realizó cada operación, para mayor seguridad.",0,0,0,1,0,0,0
85,"Me encanta que la app mantenga un registro de las sesiones iniciadas. Me ayuda a asegurarme de que nadie más está accediendo a mi cuenta sin mi conocimiento.",0,0,0,1,0,0,0
86,"Sería genial si la aplicación pudiera generar automáticamente informes mensuales de gastos categorizados. Facilitaría mucho el seguimiento de mis finanzas y la detección de gastos inusuales.",0,0,0,1,0,0,0
87,"La app debería permitir marcar transacciones como 'sospechosas' directamente desde el historial. Esto ayudaría a reportar rápidamente cualquier actividad inusual al banco.",0,0,0,1,0,0,0
88,"Aprecio que la aplicación me pida confirmar transacciones inusuales o de alto valor. Me hace sentir que el banco está atento a la actividad en mi cuenta.",0,0,0,1,0,0,0
89,"Sería útil tener una opción para recibir un resumen semanal de todas las transacciones por correo electrónico. Así tendría un respaldo adicional de mi actividad bancaria.",0,0,0,1,0,0,0
90,"La app mantiene un historial completo de mis interacciones con el servicio al cliente, lo cual es muy útil para dar seguimiento a mis consultas y reclamos.",0,0,0,1,0,0,0
91,"Me gustaría que la aplicación tuviera una función para etiquetar o agregar notas a las transacciones. Sería más fácil recordar el propósito de cada gasto al revisar el historial.",0,0,0,1,0,0,0
92,"La opción de ver el historial de cambios en la configuración de mi cuenta es excelente. Me ayuda a asegurarme de que nadie ha modificado mis preferencias de seguridad sin mi conocimiento.",0,0,0,1,0,0,0
93,"Sería bueno si la app pudiera generar un informe anual detallado de todas mis transacciones, ingresos y gastos. Facilitaría mucho la preparación de mis impuestos.",0,0,0,1,0,0,0
94,"Aprecio que la aplicación me notifique cuando se realiza un inicio de sesión desde un nuevo dispositivo. Me da tranquilidad saber que estoy al tanto de todos los accesos a mi cuenta.",0,0,0,1,0,0,0
95,"Me encanta que la app genere comprobantes digitales para cada transacción. Es muy útil para tener pruebas de mis pagos, aunque a veces tarda un poco en cargarlos.",0,0,1,0,0,0,0
96,"La función de firma digital para aprobar transferencias grandes es genial, pero el proceso es un poco engorroso. Podrían simplificarlo sin comprometer la seguridad.",0,0,1,0,0,0,0
97,"Aprecio que la app envíe confirmaciones por correo electrónico de todas las operaciones, pero sería aún mejor si pudiera elegir qué tipos de transacciones quiero que me notifiquen.",0,0,1,0,0,0,0
98,"La opción de autorizar pagos con huella digital es muy conveniente y segura. Me da tranquilidad saber que nadie más puede aprobar transacciones en mi nombre.",0,0,1,0,0,0,0
99,"Es frustrante que a veces los comprobantes de pago no se generen inmediatamente. He tenido problemas para demostrar que hice un pago a tiempo por este motivo.",0,0,1,0,0,0,0
100,"Me gusta que la app registre la geolocalización de las transacciones, pero debería ser opcional por privacidad. Aun así, es útil para verificar la legitimidad de las operaciones.",0,0,1,0,0,0,0
101,"El sistema de autorización por token para pagos en línea es excelente. Me siento seguro sabiendo que cada transacción tiene una prueba única de que yo la autoricé.",0,0,1,0,0,0,0
102,"Sería útil si la app permitiera agregar notas o etiquetas personalizadas a las transacciones. Ayudaría mucho para recordar el contexto de cada operación en caso de disputas.",0,0,1,0,0,0,0
103,"La verificación en dos pasos para cambios en la configuración de la cuenta es una gran característica de seguridad, aunque a veces puede ser un poco molesta.",0,0,1,0,0,0,0
104,"Me gustaría que la app ofreciera la opción de recibir notificaciones push además de correos electrónicos para las confirmaciones de transacciones. Sería más rápido y conveniente.",0,0,1,0,0,0,0
105,"El historial detallado de sesiones iniciadas es útil, pero sería mejor si incluyera más información como el tipo de dispositivo o el navegador usado para cada acceso.",0,0,1,0,0,0,0
106,"Aprecio que la app requiera una confirmación adicional para transacciones inusuales, pero a veces los criterios parecen demasiado estrictos y es molesto para pagos legítimos.",0,0,1,0,0,0,0
107,"La opción de descargar un registro de auditoría de todas las actividades de la cuenta es genial para mi contabilidad, aunque el formato podría ser más fácil de leer.",0,0,1,0,0,0,0
108,"Me encanta que la app use números de referencia únicos para cada transacción. Ha sido muy útil cuando he necesitado resolver problemas con pagos.",0,0,1,0,0,0,0
109,"Sería útil si la app permitiera establecer límites personalizados para transacciones que requieren autorización adicional. Los límites actuales no siempre se ajustan a mis necesidades.",0,0,1,0,0,0,0
110,"La función de bloqueo temporal de la tarjeta desde la app es excelente, pero sería aún mejor si enviara una notificación cuando la tarjeta se desbloquea automáticamente.",0,0,1,0,0,0,0
111,"Aprecio que la app mantenga un registro de los intentos fallidos de inicio de sesión, pero me gustaría recibir notificaciones inmediatas cuando esto sucede para mayor seguridad.",0,0,1,0,0,0,0
112,"La confirmación por SMS para transacciones grandes es buena, pero a veces los mensajes llegan con retraso. Deberían considerar usar notificaciones push como alternativa.",0,0,1,0,0,0,0
113,"Me gusta que la app genere códigos QR para comprobantes de pago, pero sería útil si también ofreciera la opción de compartirlos directamente por WhatsApp o correo.",0,0,1,0,0,0,0
114,"El sistema de alertas para actividades inusuales es muy efectivo, aunque a veces es demasiado sensible. Sería bueno poder ajustar los parámetros de lo que se considera 'inusual'.",0,0,1,0,0,0,0
115,"Me impresiona que la app siga funcionando sin problemas incluso durante las horas pico de uso. Es evidente que han invertido en una infraestructura robusta.",0,0,0,0,0,1,0
116,"Recientemente hubo un intento de phishing masivo, pero la app detectó y bloqueó automáticamente los enlaces maliciosos. ¡Buen trabajo en seguridad proactiva!",0,0,0,0,0,1,0
117,"La app se ralentiza mucho durante las campañas de ofertas especiales. Deberían mejorar su capacidad para manejar picos de tráfico.",0,0,0,0,0,1,0
118,"Aprecio que la app tenga un modo offline que me permite ver mi saldo y últimas transacciones incluso sin conexión. Es útil cuando la señal es mala.",0,0,0,0,0,1,0
119,"Durante el último ataque DDoS al banco, la app móvil siguió funcionando perfectamente. Es tranquilizador saber que tienen buenos sistemas de respaldo.",0,0,0,0,0,1,0
120,"La función de detección de root/jailbreak es buena para la seguridad, pero es demasiado sensible. Bloquea mi dispositivo aunque solo esté rooteado para temas de desarrollo.",0,0,0,0,0,1,0
