id,comentario,clasificacion_seguridad
422,Si tiene problemas en esta aplicación me parece que voy a cambiar de 🏦,not_applicable
423,no puedo abrir,not_applicable
424,bien,not_applicable
425,muy lenta,not_applicable
426,Se para cerrando la aplicación por cada transacción!!!!!!?!,not_applicable
427,ausencia del sistema frecuente. no podemos confiar,not_applicable
428,Cobran mucho por transferencia,not_applicable
429,Desde hace un tiempo no funciona la aplicación interna Qore para revisar los beneficios que puedo usar.,not_applicable
430,"Le doy una estrella porque hasta ahora no le dan solución para que funcione está app en mi celular, a pesar de los reclamos y consultas , espero tenga pronta solución.",not_applicable
431,"no llega el código OTP a mi banca móvil desde víaBCP para adquirir mi tarjeta de crédito de nada sirve desinstalar y volver a instalar ya fui a sus oficinas y me dicen que es problema de servidor que espere un día, ha esperé 3 meses. no llega nada está activo todo.",authenticity
432,la app tiene fallas al realizar pagos de servicio a bitel me sale esperar unos minutos y espero que lo arreglen .,not_applicable
433,"la aplicación está fallando, al momento de registrar, cuando uno toma la foto del dni, luego de tomarla derecha sale la imagen a la mitad y no lo valida, arreglen eso por favor.",authenticity
434,"no abre, falla y se cierra solo. Antes no existia ese problema",not_applicable
435,"lo peor que pudieron hacer es poner el programa qore en la app... nunca puedo acceder a mis descuentos cuando otras personas con menor nivel sí... ya parece que fuera una ""funcional"" a drede",not_applicable
436,"sin palabras, si pudiera le pondria 0 estrellas, en todo momento pone que ocurrio un error y aveces se queda cargando y no carga, mejoren su app",not_applicable
437,muy mala ya llevo muchos días sin poder entrar a mi banca móvil,not_applicable
438,pésimo no funciona en nada,not_applicable
439,se loquea,not_applicable
440,"no habre la app. porfavor solucionen, tengo samsung A31. otras aplicaciones bancarias si abren sin ptoblemas",not_applicable
441,"pésimo aplicativo, estoy intentando crear mi cuenta y el sistema manda error tras error",not_applicable
442,"Terrible aplicación, 15 minutos intentando hacer una transferencia para que al final me diga que superé el límite de intentos permitidos. Pésima.",authenticity
443,"muy buena app. lo q le falta es más opciones como apagar y prender tarjeta , y controlar opciones compras en línea , efectivo etc . esperemos pronto mejoren eso !!!!",resistance
444,"Tengo problemas al abrir el app, fuí al banco y me dicen llama a este número, te tienen más de 30 min en espera sin respuesta, ni reclamos puedes, le doy 1 estrella.",not_applicable
445,"desde hace 1 meses no puedo ingresar a la App, te bota de la aplicación en automático cuando ingresas la clave de internet, ya deberían darle solución al tema",authenticity
446,"La página de Qore (para ver descuentos) es de lo peor, no carga, se cuelga, etc.",not_applicable
447,"el modulo qore no deja explorar los beneficios en Android 15, no muestra nada y no sabes con que cuentas",not_applicable
448,"no se xq cuando ingreso mi clave se sale, intento muchas veces y nada de entrar... tengo q reiniciar el cel y me permite solo una vez en ese momento y después otra vez se sale...",authenticity
449,Desde ayer estoy intentando transferir dinero y no se puede. ¿Cuánto tiempo debe pasar para arreglar ese problema?,not_applicable
450,"El app es racista , ya no puedo ingresar con mi faifon del 2019 . Me sale que no es compatible con la version de android . Que puedo hacer , los leo.",not_applicable
451,"no sé que le hicieron a la aplicación pero en las últimas semanas no he podido ingresar a Qore, ni actualizando el app. simplemente no me muestra mis beneficios y es la única forma de ver mis beneficios de cuenta sueldo. les pediría por favor revisar este problema, antes funcionaba bien pero ahora, es un caso perdido",not_applicable
452,"cada ves que intento ingresar me saca de la aplicación, espero resuelvan ese inconveniente",not_applicable
453,Muy rápido,not_applicable
454,"Tenía el token digital activo y sin ningún motivo, dejo de funcionar, no me dejaba realizar transferencias a terceros. Arreglen sus problemas de sistema, gracias.",authenticity
455,se cierra cada rato,not_applicable
456,mala,not_applicable
457,"Los beneficios QORE no abren, lo hubiera dejado en un app aparte.",not_applicable
458,"No puedo abrir mi cuenta mientras no actualizo la APP y no puedo hacerlo, es muy grande, no alcanza la memoria de mi celular... esperaré el tiempo adecuado y buscaré otras opciones...!!!",not_applicable
459,mala,not_applicable
460,ineficiente,not_applicable
461,Mala atención digital al cliente,not_applicable
462,no carga y retorna al inicio,not_applicable
463,cuando abres la app se coloca en blanco y no da para ningun lado. para ser un banco que gana millones y no puede arreglar ese buf,not_applicable
464,El App pide Android versión 14 como requisito para que funcione correctamente en el año 2025,not_applicable
465,"sigue sin funcionar la app, cada ves q ingreso me bota de la app",not_applicable
466,la aplicación no me funciona hace un mes.,not_applicable
467,no puedo cancelar mi cuenta en linea,not_applicable
468,le pongo una estrella porque no funciona desde hace un mes aproximadamente,not_applicable
469,se actualizo y ya no se puede entrar al aplicativo pésimo.,not_applicable
470,está pésima la aplicación más de un mes que no puedo ingresar a mi cuenta espero me ayuden,not_applicable
471,la app presenta problemas no se puede ingresar te rebota el i grueso está recontra mal,not_applicable
472,"Mala experiencia y quitan dinero sin razón , mala atención y mal servicio.",not_applicable
473,Muy rápida Quiero mi clave token,authenticity
474,"La app no funciona desde hace días!, que pésimo servicio.",not_applicable
475,"la mejor solución es pasarse a otro banco, no sirve ya me aburrido que falle una y otra vez",not_applicable
476,excelente,not_applicable
477,"otra vez actualizar... ya es una modalidad de los bancos, hasta que salga el mensaje: ESTE EQUIPO NO ES COMPATIBLE CON LA APP (todo para obligarte a renovar el equipo celular)...",not_applicable
478,está muy lenta el app,not_applicable
479,desde hace dias que intento abrir la app y no me permite abrirlo el yape tampoco no se que permisos le falta para que pueda arrancar es la primera vez que me sucede este problema,not_applicable
480,de 13 días que quiero hacer transferencia bancaria desde la aplicación que antes pude hacer y no puedo me sale un error que no identifico qué es,not_applicable
481,se cierra,not_applicable
482,"Me salió una actualización de la app del BCP lo instale y no habre la página de cuelga ,lo he dedistalado y lo he he vuelto instalar y nada ,como es posible que una app tan importante tenga estos inconvenientes ,espero me den pronta solución.",not_applicable
483,Trato de actualizar la app y no me lo permite.Es un verdadero dolor de cabeza tratar de lidiar con estos inconvenientes que me perjudica,not_applicable
484,"Dejo de funcionar hace unos días, solo muestra la pantalla azul y se cierra. Muy mal con la actualización de la app actualizado inf. aún presenta inconvenientes, no abre la app",not_applicable
485,"no me permite ingresar a mi cuenta, aparece como inexistente cuando tan sólo hace unos días cree mi wardadito, pésima!!",not_applicable
486,ÚLTIMAMENTE NO PERMITE ACCEDER. PERJUDICA LAS TRANSACCIONES. GENERA PROBLEMAS,not_applicable
487,La aplicación no se puede instalar en android 8 y 8.1 a pesar de que mi smartphone no tiene root tendré que pasarme a otro banco. Yape si es compatible aún.,not_applicable
488,Está muy buena la app pero por favor pongan huella digital antes de entrar a la app bcp.,authenticity
489,Estoy fuera del Perú por temas laborales y activar el token imposible. Me dijeron que instalará nuevamente la aplicación y fué peor. Necesito comunicarme con ustedes URGENTE,authenticity
490,no quiere abrir me sale que presenta problemas,not_applicable
491,buenas noches quisiera hacer una queja no puedo entrar ala aplicación por qué ? quiero entrar y se cierra,not_applicable
492,Tengo. Problemas al ingresar me sale que esta en mantenimiento todo el tiempo,not_applicable
493,No entra,not_applicable
494,con la ultima actualizacion unas basura de app,not_applicable
495,"un asco la app, no me permite abrirla en mi celular",not_applicable
496,"No funciona su app, ya casi 1 mes sin funcionar, al momento de ingresar la clave se cierra solo, desastre de aplicación",authenticity
497,bueno no funciona la banca móvil muy pésimo aplicativo,not_applicable
498,La aplicación me presenta inconvenientes fallidos desde hace semanas y he intentado de todo pero no doy con la solución. Pues al ingresar mi clave simplemente me saca o desaparece de la pantalla y no era así antes. Lo máximo que me han dicho es que presentan problemas con los equipos Motorola. En fin. tampoco tengo facebook para escribirles por ahí. Así que solo una estrella va.,authenticity
499,pesimo servicio deberian eliminar esa app,not_applicable
500,"Los beneficios Qore de la aplicación no cargan, han tenido que separar en otra aplicación ese servicio.",not_applicable
