numero_comentario,comentario,clasificacion_iso_25010
2427,"El app es muy deficiente, no me permite ingresar al app, solo sale un mensaje,,, estamos trabajando para solucionar el inconveniente y es constante.",not_applicable
2428,"Llevo días que no puedo ingresar a la app de interbank, estaba instalado todo normal y hace días se borró los datos de la tarjeta y no puedo volver a ingresar. Llevo días esperando que solucionen el problema, su App no sirve y no hay puntaje 0 ...si no serían varios 000",not_applicable
2429,"La aplicación viene presentando ciertas fallas, después de realizar un depósito o realizar alguna transacción virtual, no me deja volver a ingresar a la app y me sale un mensaje de que hay un problema de conexión con el banco.",not_applicable
2430,"La anterior version era mas dinámica, ahora es más complicada y en mi HUAWEI P30 Pro a cada rato me pide reinstalar y no me permite realizar mis operaciones, tanto en la personal y empresarial, es por ello saque gran parte de mis depósitos y los pasé a otro banco. Mejoren su APP.",not_applicable
2431,"pésima la aplicación,no puedo hacer transferencias . son raras veces q si me permite",not_applicable
2432,"Es la app más funcional e intuitiva que he usado, sin animaciones innecesarias a diferencia de otros bancos. ACTUALIZACIÓN: El anuncio que aparece al inicio en la parte de abajo es demasiado molesto, impide entrar rápidamente a algunas funciones como Plin",not_applicable
2433,"Últimamente entre las 5 de la tarde en adelante cuando quiero ingresar a la banca móvil, me bota error estamos trabajando en ello, Se agradece que solucionen, ya que muchas veces necesito hacer transferencias por la app y no me deja, Muy pesimo la verdad... :(",not_applicable
2434,"Cuando las ofertas y cupones de Plin aparezcan en la misma app será un 4. Se volverá un 5 estrellas cuando el sistema de Plin funcione adecuadamente las 24 horas del día, ya que después de las once u medianoche el sistema no carga y en general toda la madrugada está así.",not_applicable
2435,Llevo usando el app ya tiempo y al principio suele estar bien pero después ya deja de funcionar pensé que era por el internet pero resulta que era la app que no me deja ingresar a ver mis cuentas y suele ocurrir siempre a menudo y eso da mucha molestia y más con la actualización de ahora esta mucho peor,not_applicable
2436,"QUE PESIMA VERSIÓN DE ESTA APP, por ejemplo la opción de recordar datos no recuerda nada a perdido la memoria y no se porque se queda colgado cuando quiero retroceder. Por favor mantengan las versiones anteriores que estaban mejor",not_applicable
2437,"Totalmente con la actualización no se puede hacer nada con la aplicación, no puedo hacer movimientos.. nunca llega la clave dinámica, prácticamente tengo que ir a un agente para poder hacer un retiro y poder pagar algún servicio porque no funciona, lo cual se me hace una pérdida de tiempo",authenticity
2438,"Este aplicativo funciona de vez en cuando, cuando quiero ingresar y hacer alguna transferencia o pagos etc , se pone en blanco y tengo que estar ingresando en varios momentos del día, para ver si ya está abilitada y poder hacer el uso que requiero es horrible este aplicativo.",not_applicable
2439,"Buen día, estimados En esta ocasión, los califico con 3 estrellas y no con 5, ya que en verdad esta app me era muy efectiva porque podía hacer de todo: pagar recibos, pensiones, matrículas, recargar, transferir, entre otras cosas muy importantes. Pero tengo un problema, después de descargar el App, en mi nuevo celular Huawei P30 Lite, no abre la aplicación.",not_applicable
2440,"Me gustaba la app, era super rápida y la interacción era buena. Con la última actualización esta lenta cuando ingresas para ver el movimiento de las tarjetas de crédito no se puede hacer scroll. Y esta un poco pesada el UX.",not_applicable
