numero_comentario,comentario,clasificacion_iso_25010
2018,"La aplicación era realmente buena pero desde hace o mes o más ha empezado a literalmente comerse el dinero que me transfiero , quizá sean fallas de estás últimas actualizaciones pero deberían checar ese problema hace una semana que no la puedo usar porque el dinero que transfiera desaparece automáticamente.",integrity
2019,"Es lamentable q en pleno estado de emergencia el banco cobre penalidades por horas de atraso ni siquiera un día... Siendo yo una clienta muy puntual en sus pagos...pero debido a la coyuntura q hoy en día afrontamos todo esta colapsado aplicativos, agentes, cajeros y bancos... Es imposible realizar pagos por el app..da miedo ir a los bancos con tanta cola q hay., entiendan eso porfavor..no me parece 148.00 soles de penalidad por 9 horas de atraso...totalmente Injusto...",not_applicable
2020,"Que molesto es desinstalar y volver instalar la aplicación para que siquiera abra el inicio, a la hora de abrirlo se queda pegado el logo y ya no avanza más. Literalmente tengo que desinstalar y volverlo a instalar para funciona por un pequeño tiempo. ACTUALIZACIÓN: Aún peor, ya no puedo abrir más la aplicación, apenas la abre y queda con el logo para siempre, ya no avanza más 🙂. Tengo una tablet de 6 GB de ram, y el sistema es Android 13.",not_applicable
2021,"Hace unos días cambié de celular y cuando quiero habilitar la opción de hacer operaciones en el app en mi nuevo celular no funciona el reconocimiento facial, coloco mi rostro en el círculo que indica el app y no reconoce. Con otras aplicaciones que usan el reconocimiento facial no he tenido problemas la app de Interbank es la única que falla. La verdad es que esta última versión es pésima.",authenticity
2022,"Al principio todo fue excelente, hasta hace unos días que elimine la aplicación y la volví a instalar, resulta que olvidé mi clave digital, realicé los pasos para cambiarla y pasa mas de 1hora y no llega el código dinámico para poder cambiar la clave, ya eh hecho de todo incluso acercarme al mismo banco y nada",authenticity
2023,"La clave dinámica no llega, y si es que llega tarda demasiado. Complica mucho hacer operaciones por plin, por más pequeñas que sean. Definitivamente es un problema que deben solucionar. Antes la aplicación era super rápida.",authenticity
2024,"Últimamente está muy lento y no se pueden realizar unas actividades como para el monto de deuda a dos cuotas, tengo que entrar desde mi PC para hacerlo. Ojalá lo puedan mejorar pronto porque está demasiado lento para ingresar a la app. Antes era chévere.",not_applicable
2025,"Qué desgracia, la app era muy buena pero desde diciembre que me anda fallando al igual que otros con Huawei creo. El punto es que, solo puedo usarlo por unas horas y después cuando intento entrar otra vez me dice que algo salió mal y solo da ese mensaje, arreglen eso por favor, tengo que desinstalar e instalarlo y tomarme las fotos de seguridad para usar plin a diario... ZzZzZ",authenticity
2026,"No sé actualizan los ""Gastos"" ❎ desde el sábado 06/05 NO se actualizan los Gastos en la sección >Mis finanzas/gastos.. ⚠️ he realizado pagos por tarjeta, transferencias y no se actualiza el valor del indicador de gastos y por consiguiente no se puede categorízar porque no aparecen los movimientos.. FALLO ❎",integrity
2027,"la app no funciona correctamente, *tengo que ponerlo los datos de inicio repetidas veces para que abra, *se cierra avisando que el tiempo se agotó aunque la acabe de abrir , ya la reinstale varias veces y es el mismo problema , *también la página de términos y condiciones no abre, solucionen rápido, por favor",not_applicable
2028,"Hola,me he llevado un mal sabor de boca usando el aplicativo  Interbank,porque para poder hacer operaciones me obligan a  llenar datos y poner una imagen mía para poder ingresar a  la opción operaciones ,desperdiciando tiempo y también dinero ,ya que para poder realizar transferencias inmediatas a otros bancos se debe ingresar a dicha opción ,la cual para el colmo y lo principal de esta queja es que no permite cerrar el dicha pantalla y desde luego   navegar por otras opciones, volviendo a inici",authenticity
2029,"Antes era buena, ahora es un dolor de cabeza ya lo voy desinstalando varias veces y volviendo a instalar. Les comento lo que me pasa: Entro a la app, reviso opciones todo eso normal pero cuando empiezo para hacer PLIN o transferencia me sale un mensaje en el centro que dice "" Cerrar App o Espera"" y debo estar colocando "" Espera"" hasta terminar de hacer el Plin o transferencia y es que el mensaje es incomodo porque sale a cada rato cada 5 segundos.",not_applicable
2030,La app está pésima. Desde hace 3 días la app borra automáticamente mis datos y tengo que reinstalar la app cada vez que quiera usarlo. Eso es demasiado incomodo ya que me quita facilidad para hacer mis transacciones y me expone al sacar la tarjeta a cada rato.,authenticity
2031,"Es un asco este aplicativo, la alcancía no sirve ya que pase mi dinero un día y cuando quise devolverlo a mi cuenta sueldo ya no estaba la opción, desapareció el icono, en el banco no tienen solución y la central apresar de que ya haya pasado más de 1 mes de mi reclamo no me lo solucionan. Me dicen que el dinero está en mi cuenta, y de nada me sirve si no lo veo ni lo puedo retirar. Y aparte ni realizar los pagos se puede, cuando quiere funciona este aplicativo.",integrity
2032,"Anteriormente no he tenido problemas con la app, pero este último mes sólo me ha sido útil para consultar mis cuentas ya que no me deja hacer ninguna operación por un error en el que no reconoce el token que fue enviado por sms. tampoco deja salirse de la pesataña de operaciones, por lo que hay que forzar el cierre de la aplicación e iniciar sesión en la web para poder hacer operaciones. Espero lo solucionen",authenticity
2033,"Pésimo servicio, antes solía ser una app de banco Top, pero ahora es imposible ingresar, incluso al ingresar es difícil hacer transacciones, escribes al Wapp del banco y nunca te responden, no brindan ningún soporte, no sé que esta pasando pero deben solucionarlo porque muchos clientes nos vemos afectados.",not_applicable
2034,es la peor no puedo hacer ningún tipo de pago por la app y me cobra 30 a 100 soles y no puedo hacer el más mínimo movimiento,integrity
2035,Terrible como ha empeorado su app y su servicio. Hicieron retiros no autorizados y cuando reclamé solo me dieron de solución que bloquee mi tarjeta porque eran compras por internet que al parecer tiene que ver con ustedes por todas los casos que he escuchado. Me cambiaré a otro banco.,integrity
2036,"Al inicio fue una app rápida en hacer las operaciones, ahora es todo lo contrario, abres, y al instante se cierra, quieres plineara o pagar se cuelga y se cierra, por favor darle soporte, porque no soy el único usuario que indica estás incomodidades que genera el uso del app.",not_applicable
2037,"No me permite retirar dinero de mi alcancía, además mi saldo disponible se quedó en 0 y el banco solo me dice que espere y que abrirán una solicitud. Prácticamente mi dinero está congelado, todo lo que estaba fuera de la alcancía no aparece y el resto no puedo sacarlo porque me lo descuentan sin motivo. Cero recomendada la aplicación y el banco.",integrity
2038,Ojo si te roban la tarjeta o algo no puedes bloquear llamando sino por la aplicación. Si te roban el celular tambien corres peligro a que te roben más de la tarjeta . Interbank está mal en este punto . Bloqueé mi tarjeta por aplicación y ellos lo hicieron después de varias horas y ni llamando se podía. Pésimo ! Cambiaré mi cuenta,accountability
2039,no llegan las claves dinámicas lo cual dificulta hacer transacciones. Solucionen este problema.,authenticity
2040,"Ya no confío en este banco, antes todo bien pero ahora ya no dejan ver detalladamente los movimientos, después de hacer el corte mensual de mi tarjeta de crédito he abonado cierta cantidad pero en el consumido total no coincide el monto pagado con el que debe restar, es como sino me hubieran validado la totalidad de el dinero abonado, a parte siempre que de hace un movimiento con la tarjeta de crédito te suman el doble hasta después de 3 días que se calcula como debe ser.",accountability
2041,"Justo cuando estoy haciendo tramite de visa , se le ocurre a la app no cargar los movimientos de fin de mes donde esta mi sueldo de fin de mes, aun sigo esperando que aparesca el la barra de mis ingresos desde el dia 27 mayo ni un ingreso a sido considerado en ni barra de finanza. Arreglen su app. Ya estamos 3 de junio y no aparece mis ingresos completos de mayo.",accountability
2042,"He usado esta app por muchos años en un iPhone y todo bien. Cambie de telefono a un galaxy z flip 3 y funcionaba bien durante 4 meses hasta hace un mes que dejó de funcionar. Puedo abrir la app pero no puedo hacer ni un movimiento. He instalado y desinstalado muchas veces la app. Solicité ayuda a ibk pero no saben a qué se debe, solo atinaron a decir que la nueva actualización de la app no va con mi teléfono. Ya llegó al punto de perjudicarme diariamente, no me queda mas que cambiarme de banco",not_applicable
2043,"La app esta fallando, apenas me llega el codigo para hacer plin o transferencias se cierra...",authenticity
2044,app de porqueria en momentos claves nos abandona necesito hacer un plim urgente para y me sale que no está disponible en estos momentos ni transferencia se puede hacer desgraciadamente.,not_applicable
2045,"Le aumento una estrella. Han solucionado la edición de categorías de los gastos pero creo que aún falta agregar categorías para una clasificación mejor de gastos. También se puede generar un presupuesto mensual pero faltan categorías. El banco me gusta y es el mejor para mí pero, tengo que usar otra aplicación para controlar mis gastos.",not_applicable
2046,"Yo le daba 5 estrellas nunca me trajo problemas, ahora no puedo realizar operaciones porque no me llega el codigo de confirmación, por favor denle una solución urgente me están retrasando mis operaciones",authenticity
2047,"No dan información completa de tus contactos u número de teléfono en tus movimientos y además, me sale muchos consumos en proceso a q se debe",accountability
2048,"La versión anterior estaba mucho mejor. Con esta actualización se demora en cargar los contactos para hacer envíos por Plin, demora en cargar la opción de ingresar número del contacto e ingresar número de cuenta para transferencias. Horrible!!",not_applicable
2049,estoy teniendo ploblema con app. no me permite realizar tranferencia ni realizar plin al intentar ingresar cosecutivamente. el app ya no me permite ingresar,not_applicable
2050,"Lamentablemente para lo único que puedo utilizar la app, es para visualizar el monto en mis cuentas. Me han asesorado vía chat, muy amablemente los asesores y nada que se puede realizar los pagos de servicio, siempre aparece mensajes en reparación o en este momento no disponible. Pues seguiré utilizando la plataforma de otro banco más eficiente",not_applicable
2051,"La app se cierra de la nada, pésima actualización, contraten un buen programmer",not_applicable
2052,"La verdad estaba muy contenta con el banco y su app en particular, pero en esta emergencia del Covid-19 siento que me ha dado la espalda no apoyando en reprogramar el pago de la tarjeta, me desinformaban uno más que otro hasta que tuve que conseguir el dinero como sea para no incumplir el pago y ahora salen con este tema de la actualización del App que ha limitado temendamente el uso que tenía antes, ya no puedo ver mi cuenta de débito ni realizar ninguna gestión con ella por ende.",not_applicable
2053,"es muy inseguro es muy fácil acceder a una cuenta cuando pierdes tu celular o te roban ahora por la última que le pasó qué le pasó hackearon todas las cuentas de toda persona no es muy confiable que digamos, además sus sistema osea fallando plineas a un número sale error al momento de transaccion del otro banco pero el descuento ya esta hecho y lo peor que a la otra persona no le llegó nada es un problema ya perdi dinero por eso estoy pensando irme para BCP es mejor",integrity
2054,"La aplicación es horrible. Lenta, demora una eternidad y siempre que me envían plata mágicamente se cae el sistema y no puedo acceder hasta días después, además que no permite tomar capturas cuando es muy importante para nuestra seguridad. Una porquería total.",not_applicable
2055,no sirve la aplicación se cae a cada rato no se puede ni ingresar!,not_applicable
2056,no sé puede ver el saldo de mis cuentas en el aplicativo y no se muestra tarjeta de crédito,accountability
2057,pésimo muchas oportunidades se cuelga no se puede yapiar ni pliniar a partir de las 12 arreglen su problemas técnico en otros bancos no eh tenido este tipo de problemas 😡,not_applicable
2058,"El aplicativo esta súper lento, en especial al usar la opción de plin, complica mucho para pagar con plin, incluso para buscar en tus contactos se queda paralizado. Puede demorar en cargar hasta 40 min y continuamente sale un anuncio que indica que el aplicativo tiene un error y pide cerrar el app.",not_applicable
2059,La clave dinámica demora demasiado y no se pueden realizar las operaciones,authenticity
2060,"pesima aplicación se bugea a cada rato , pde hacer verificación de cara y aun asi se bloquea la app pesimoooooooo",authenticity
2061,"Últimamente la aplicación ah tenido serios problemas , desde que se cierra la aplicación hasta no poder planear a ningún número luego de las 11 el plin falla por algún motivo y incluso últimamente Interbank quito dinero a varias cuentas . Espero solucionen esos problemas prq la es mucha confianza q los usuarios poniendo su dinero y haciendo transferencias . Hasta ahora solo dos estrellas se mecere está aplicación",integrity
2062,Está aplicación va de mal en peor no puedo hacer un pago porque siempre sale error no se cual es el propósito de esto si no funciona correctamente,not_applicable
2063,Desde la última actualización no puedo hacer transferencias interbancarias no me llega la clave dinámica,authenticity
2064,A veces falla el Log In y me piden desisntalar e instalar nuevamente la app.,authenticity
2065,ES UNA DESGRACIA ESTA APLICACIÓN DESDE YA NO RECOMIENDO PARA NADA TENER UNA CUENTA EN EL BANCO CUANDO NK PUEDES DISPONER DE TU DINERO CUANDO LO NECESITAS,not_applicable
2066,no genera la clave dinámica.. llevo 30 min. tratando de enviar un depósito que es urgente... está aplicación me decepciona cada vez más... deben arreglar ese tema... o será necesario de migrar a otro banco?..,authenticity
2067,"Tanto demoran en solucionar el problema con tener que reinstalar a cada rato la app? De verdad que horrible, no se que habrán hecho en esta actualización, pero su proceso de QA debe ser inexistente si cometen este tipo de errores. Y aun no lo solucionan! En qué manos está mi dinero si no hacen un buen QA",not_applicable
2068,"Pesima app, se congela y envia los codigos cuando ya expiro su uso y encima no los reconoce, no entiendo que tipo de seguridad es esa. Me bloqueo usando mi contraseña correcta, me insistio que cree otra y al final no reconoce ni uno y otro, ahora resulta que recién mañana puedo volver a ingresas. Revisen su sistema de seguridad que es nefasto.",authenticity
2069,"Hasta antes de la última actualización (hoy, Oct4, 2022) trabajaba a la perfección, pero después de actualizar no he podido ingresar, me dio un mensaje de error y me pidió que borrara algo pero luego de ello al intentar ingresar sale una pantalla oscura con un círculo brillante al medio y de allí no pasa. Es urgente que solucionen este problema!!",not_applicable
2070,"actualización de consumos lenta. Cobros procesados después de semanas. cobros rechazados igual se cargan como consumos. Carga de contactos para Plin es lenta y detecta como error. La app ha empeorado en lugar de mejorar... si tuvieron un error masivo, qué seguridad tenemos los usuarios?",integrity
2071,"Pague puntual la tarjeta de crédito atravez de la app,confiado sali de la app,luego de varios días me llaman diciendo que no pague,verifique y salía que no había pagado pero ya me habían descontado del otro banco, ya llevo 1 mes y no resuelven mi reclamo es una tontería.",integrity
2072,"le bajo las estrellas porque de acá en un tiempo si bien su funcionalidad es buena, pero a cada rato hay que estar instalando y reinstalando para volver entrar al aplicativo me ha tocado estar hasta 3 días sin capacidad de entrar por dice que está en mantenimiento , pero adentro si funciona bien",not_applicable
2073,"Desde el año pasado, desde noviembre está que falla la aplicación, no permite ingresar en el día, aveces después de 5 intentos recien se puede ingresar, que pasa si se bloquea mi cuenta, que mal como a empeorado su servicio, me decepciona.",authenticity
2074,"Pésimo, desde la última actualización demora mucho para hacer cualquier cosa. Lo desinstale y reinstale pensando que algo andaría mal con mi versión pero ahora va peor, para hacer las cosas pide reconocimiento facial y carga y luego se cierra. Osea ya no me funciona para nada.",authenticity
2075,"Se debería ocultar los dígitos de las cuentas tanto del que envía, como el que recibe por el aplicativo y agentes, bancos, solo mostrar el nombre asi como lo hace el BCP por un tema se seguridad y enviar las notificaciones Push o mensajes de texto al celular y correo cuando se realice operaciones de todo tipo, así estamos al tanto de lo que sucede con nuestras cuentas en tiempo real.",confidentiality
2076,"Su reconocimiento facial no funciona. Llevo días intentando utilizar el app para realizar pagos y transferencias, pero el app no me deja. Llamé a Interbank y me dicen que recién van a arreglarla dentro de unos días. Si van a sacar algo, lo mínimo que deben hacer es asegurarse de que funcione.",authenticity
2077,"No puedo validar mi identidad con el reconocimiento facial, siempre me aparece el mensaje de centrar el rostro y que se agotó el tiempo de espera, no es problema de dispositivo, este me funciona correctamente en otras bancas. El app cuenta con todos los permisos y sigue sin funcionar correctamente",authenticity
2078,"La app es excelente en muchos aspectos. Pero siempre tengo el problema de que las transacciones o pagos tardan mucho en aparecer registradas en ""Mis consultas"". Hasta ahora espero que salga el descuento del dinero de un pago que hice HACE UNA SEMANA.",accountability
2079,"Es un desastre esta nueva actualización,.me faltan cuentas y deudas, donde normalmente llevaba el control y podía ir pagando mis cuotas...ahora tengo que ir a ventanilla... Porque hacen cambios sin testear, es lamentable que una empresa tan grande tenga un departamento de sistemas tan impresentables ...",not_applicable
2080,"Esta app cada día esta peor, no puedes hacer una operación desde ella porque simplemente no te deja ingresar. Siempre sale el bendito mensaje de ""estamos solucionando algunos problemas"", y tienes que adivinar la hora para poder ingresar. Ese problema cansa, por favor solucionenlo!!!.",not_applicable
2081,"Pésima la app, sale pantalla intermitente y no reconoce la nueva opción de foto... Bloquea todo y hace perder el tiempo intentando activarla. Llamas al atención al cliente y solo indicar que reinicie el equipo por 15 minutos, voy en el 4to intento de reinició sin éxitos de poder usar la app",authenticity
2082,"La aplicacion no me funciona correctamemte desde hace unos dias y el dia de hoy necesito sacar efectivo sin tarjeta y ni por el app ni por la pagina. (Actualización)La aplicación había mejorada pero con los últimos meses va de mal en peor ya la verdad estoy a solo un paso de ya no utilizarla y con la última actualización está peor todavía, retirar o guardar en la alcancía es un problema y no sé te ocurra pagar un taxi con plin en la madrugada porque la pasarás muy mal, todo mal.",not_applicable
2083,Pide actualizar a cada rato llenando la memoria,not_applicable
2084,"Luego de la última actualización, se cierra sola la app luego de realizar un pago de servicio o etc etc. Ni bien me acepta el pago, a los segundos se cierra la app, no se puede ver el recibo del mismo. Luego los consumos no SE VEN AL MOMENTO... tiene q pasar horas o hasta días para poder visualizar por la app",accountability
2085,"Siempre se raya la aplicación para hacer pagos o si salgo un rato de la app, se cierra automáticamente. Qué pésimo servicio. Edit: la nueva actualización no me permite usar plin: ""Estamos teniendo un invomveniente"" a cada rato me sale esa frase. Terrible.",not_applicable
2086,"Esta actualización, se supone que es para mejorar el App y sus funciones. Sin embargo, es todo lo contrario, tengo que estar desinstalando e instalado constantemente para tener activa mi cuenta. He ido al banco y dicen que es ""normal"", lo que está pasando. Si no hay solución, tendré que optar por otra entidad.",not_applicable
2087,"Cada vez que quiero realizar un plin colocando el número de celular, el app se cierra solo en automático, ni siquiera me deja colocar los datos y hago el procedimiento por más de 5 veces, es bastante molesto. La actualización en el modelo Huawei no funciona bien y eso que ya desinstalé y volví a instalar el app pero nada, sigue igual con la falla",not_applicable
2088,"Otra vez se desconfigura todo. Ni acceder se puede. Cuándo van a solucionar el problema de los accesos? Actualización. Después de 6 meses, sigue siendo un fiasco. No puedo ingresar aún. Sale error al ingresar y que están solucionando el problema.",authenticity
2089,"Después de lo del hakeo masivo que sufrió, esta app dejó de ser eficiente, es lenta. No envía clave token,no te permite ver información de movimientos más allá de 1 mes, hoy domingo se le dio por no permitir ingreso. Nefasto no poder contar con tu dinero en cualquier momento...",authenticity
2090,"Verdadera desgracia. Antes era mejor, ahora suelen haber fines de semana enteros en que no se puede entrar. Si quieres hacer pagos por plin o transferencias no es una app confiable porque no se sabe cuando estará bien y cuando estará en ""mantenimiento"".",not_applicable
2091,"Yo me la descargue para saber mi sueldo y cuanto gasto cuando uso mi tarjeta. Sin embargo no me aparece al instante ni en un dia despues. Se demora mas de 5 dias para que me aparezca mis gastos y mis ingresos! Por ello, perdi una oferta de compra ya que no sabia cuanto me cobraron por que estaba en dolares y tuve que cancelar. Y en serio estoy muy enojada por eso.",accountability
2092,Mi aplicación es buena pero el problema que tiene al menos en mi caso es que VISA Me hace los depósitos a una cuenta que tengo pero resulta que cuando llamó avisa dice que me han hecho los depósitos pero no figura en mi cuenta de ahorros Y cuando llamó a interbank demora en contestar y cuando contesta la operadora lo deja a 1 en espera durante horas y Nunca contestan,accountability
2093,"Pésima, llevo 3 días queriendo transferir dinero y no lo puedo hacer porque nunca llega la clave dinámica 😌",authenticity
2094,"La aplicación,viene fallando una y otra vez. Dice error está en mantenimiento; la instalo, desinstalo; borro el caché de la memoria, y ni así funciona; realmente es incómodo porque uno tiene que estar ingresando a la web, cuando realmente la banca digital debe ser V 5.0, no V 0.5",not_applicable
2095,"Pésimo servicio siempre está en mantenimiento o está solucionado un problema cuando uno necesita plinear o recargar, siempre está dando problemas de verdad que a veces uno solo se estresa con este banco, si uno necesita hacer algo rápido y urgente no funciona, dique solucionando un problema que en realidad nunca solucionan",not_applicable
2096,"Pésima actualización, ahora pide activar la clave dinámica con reconocimiento facial, el cual no reconoce ninguna foto y creo que no soy el único con el problema no se cómo es posible una app tan importante llegar a tardar mucho en solucionar este error de la app. Deja mucho de que hablar del banco 🏦.",authenticity
2097,"La peor experiencia! No permite guardar datos de tarjeta y tengo que estar escribiendo cada vez que quiero ingresar, se vuelve lento y cierra pamtalla antes de terminar de transferir y demasiados pasos para hacer transferencias , pagos o ahorro",not_applicable
2098,"¡DEMORA EN LA ATENCIÓN! Y realizan cobros indebidos qué no se registran en la app o en la boleta de importe de cajeros, hay muy poca transparencia en la información cuando cobran ""comisiones"" incluso parece un robo, hasta ahorita no atienden mi reclamo.",accountability
2099,"Desde hace tres días no puedo hacer ninguna operación a través de esta aplicación, siempre sale la notificación de ""estamos trabajando para solucionar este inconveniente"", aparte de ser lenta, se están demorando mucho en solucionar ese problema lo que está volviendo a la app inservible:)",not_applicable
2100,Es útil pero aún tiene deficiencias. Deberían aparecer los movimientos bancarios con más detalles en fecha y hora a veces aparecen después de un mes y encima no se detalla la información. Y cuando pagas se ve falta de dinero pero no sé ve el informe que has pagado... Lleva meses así. Arreglen eso por favor!,accountability
2101,"Esta fallando desde ayer. Y no ofrecen una solución. Nisiquera responden los números de ayuda. Y la banca de Internet brilla por la falta de información para solucionar esto. Después todo lo demás funciona bien. Pero les falta más empatía en como arreglar ""problemas"".",not_applicable
